Activity,Matching,year
designed and built loomino,Hardware,2015
programmed the arduino,Software,2015
programmed the arduino,Hardware,2015
ensured the biology of loomino was possible,Design,2015
ensured the biology of loomino was possible,Experiments,2015
assisted on the design of the device,Design,2015
participation on igem 2015,Other,2015
working with people impacted by our device,Human Practices,2015
incorporating human practices in amsterdam,Human Practices,2015
linking biology and computer science,Modelling,2015
linking biology and computer science,Software,2015
connecting different technologies,Hardware,2015
connecting different technologies,Software,2015
changing intrigue for synthetic biology into practice,Public Engagement,2015
interacting with diverse group of people,Human Practices,2015
interacting with diverse group of people,Public Engagement,2015
making a difference in lives of people,Human Practices,2015
making a difference in lives of people,Public Engagement,2015
exploring possibilities of synthetic biology,Design,2015
exploring possibilities of synthetic biology,Research,2015
supervising in the lab,Supervision,2015
organising team presentation training,Training,2015
organising team presentation training,Administration,2015
providing assistance in the design and execution of lab experiments,Design,2015
providing assistance in the design and execution of lab experiments,Experiments,2015
providing assistance in the design and execution of lab experiments,Supervision,2015
providing experimental design input,Design,2015
providing experimental design input,Experiments,2015
providing input and provision of lab materials,Material Supply,2015
providing input and provision of lab materials,Design,2015
"providing inspiration, input, team support, lab space and materials",Supervision,2015
"providing inspiration, input, team support, lab space and materials",Material Supply,2015
"providing inspiration, input, team support, lab space and materials",Administration,2015
providing feedback on our human practices content and activities,Supervision,2015
providing feedback on our human practices content and activities,Human Practices,2015
teaching everyone how to put up content,Training,2015
teaching everyone how to put up content,Documentation,2015
characterisation of parts,Parts,2015
characterisation of parts,Experiments,2015
policy and practices,Human Practices,2015
design and execution of characterisation of parts,Design,2015
design and execution of characterisation of parts,Parts,2015
design and execution of characterisation of parts,Experiments,2015
providing input for the policy and practices,Human Practices,2015
assisting with interlab measurements,Interlab,2015
assisting with interlab measurements,Experiments,2015
general molecular biology,Experiments,2015
modeling the physical device,Modelling,2015
modeling the physical device,Hardware,2015
designing the physical device,Design,2015
designing the physical device,Hardware,2015
designing its software,Design,2015
designing its software,Software,2015
design and creation of the 71 biobricks,Design,2015
design and creation of the 71 biobricks,Parts,2015
in charge of the interlab study,Interlab,2015
stepping in anywhere in the molecular biology,Experiments,2015
making cell lysates for enzyme characterisation,Experiments,2015
designing and creating the 71 biobricks,Design,2015
designing and creating the 71 biobricks,Parts,2015
assisting in the interlab study,Interlab,2015
part of the kent igem team,Other,2015
working on the modeling,Modelling,2015
working on the wiki,Documentation,2015
communicate with the general public during the public workshop outreach event,Public Engagement,2015
helped the wet lab team,Experiments,2015
research on protein-protein/protein-ligand interactions,Analysis,2015
research on protein-protein/protein-ligand interactions,Design,2015
research on amyloid assembly,Analysis,2015
research on amyloid assembly,Design,2015
research on chlorophyll and haem biosynthesis,Analysis,2015
research on chlorophyll and haem biosynthesis,Design,2015
research on e. coli respiration,Analysis,2015
research on e. coli respiration,Design,2015
research on globin proteins,Analysis,2015
research on globin proteins,Design,2015
research on bacteria response to nitric oxide,Analysis,2015
research on bacteria response to nitric oxide,Design,2015
helped the modeling team,Modelling,2015
created a monte carlo simulation,Modelling,2015
research in structural bioinformatics,Analysis,2015
research in structural bioinformatics,Design,2015
analysis and prediction of protein function,Analysis,2015
analysis of genetic variation,Analysis,2015
developed tools to predict the growth and production of amyloid nanowires,Software,2015
developed tools to predict the growth and production of amyloid nanowires,Modelling,2015
communicate with other igem teams,Collaboration,2015
carried out wet lab experiments,Experiments,2015
organised and coded the wiki,Documentation,2015
organised and coded the wiki,Software,2015
interviewed international politicians,Human Practices,2015
developed a questionnaire on synthetic biology,Human Practices,2015
developed a questionnaire on synthetic biology,Public Engagement,2015
created the code for the wiki pages,Software,2015
helped the unitn igem team create a model,Modelling,2015
helped the unitn igem team create a model,Collaboration,2015
analysis and prediction of protein function,Analysis,2015
analysis of genetic variation,Analysis,2015
developed tools to predict the growth and production of amyloid nanowires,Software,2015
developed tools to predict the growth and production of amyloid nanowires,Modelling,2015
communicate with other igem teams,Collaboration,2015
carried out wet lab experiments,Experiments,2015
organised and coded the wiki,Documentation,2015
organised and coded the wiki,Software,2015
interviewed international politicians,Human Practices,2015
developed a questionnaire on synthetic biology,Human Practices,2015
developed a questionnaire on synthetic biology,Public Engagement,2015
created the code for the wiki pages,Software,2015
helped the unitn igem team create a model,Modelling,2015
helped the unitn igem team create a model,Collaboration,2015
managed the social network channels,Public Engagement,2015
liaised the collaborations with the unitn igem team,Collaboration,2015
wrote our post note,Documentation,2015
helped in the creation of a questionnaire on synthetic biology,Human Practices,2015
validation of our fusion protein,Experiments,2015
played a key part in the scientific writing of our project,Documentation,2015
involved in our outreach events,Public Engagement,2015
contributed to the scientific writing,Documentation,2015
created our posters,Creative Contributions,2015
designed our presentations,Creative Contributions,2015
helped with the scientific and wiki writing,Documentation,2015
managed the social networking of the team,Public Engagement,2015
designed and wrote the wiki,Documentation,2015
created the kent igem logo,Creative Contributions,2015
identified and designed biobrick parts,Design,2015
identified and designed biobrick parts,Parts,2015
gathered mps opinion on synthetic biology,Human Practices,2015
aided in the design of our questionnaire,Design,2015
aided in the design of our questionnaire,Human Practices,2015
presented our project to other teams,Collaboration,2015
presented our project to other teams,Public Engagement,2015
grateful for funding our igem project,Fundraising,2015
letting us use their laboratory space,Material Supply,2015
granting access to laboratory equipment,Material Supply,2015
providing guidance throughout our project,Supervision,2015
helping improve our project,Supervision,2015
guiding us to do better in the final presentation,Supervision,2015
spending time and efforts in our competition,Supervision,2015
helping in designing the template of our wiki,Documentation,2015
"assisting in the improvement of our online platform, flight igem",Documentation,2015
sharing their experience of the igem,Supervision,2015
giving us useful suggestions,Supervision,2015
work on molecular biology project,Experiments,2015
experience day to day difficulties of working in a molecular biology lab,Experiments,2015
learn more about synthetic biology,Training,2015
apply synthetic biology to future career in bioengineering research,Other,2015
learn about genetic engineering,Training,2015
diversify his knowledge in natural sciences,Training,2015
gain broader perspective on interwoven fields of science,Training,2015
apply igem experiences to future career challenges,Other,2015
expand knowledge in synthetic biology,Training,2015
understand the biotechnology industry,Training,2015
understand the biotechnology industry,Human Practices,2015
mentor the igem team,Supervision,2015
help bring iGEM to the University of Pittsburgh,Public Engagement,2015
helped bring iGEM to Pitt,Public Engagement,2015
"research in synthetic chemistry, chemical biology, and synthetic biology",Design,2015
"research in synthetic chemistry, chemical biology, and synthetic biology",Experiments,2015
study biophysics relating to bacterial response to stimuli,Experiments,2015
study biophysics relating to bacterial response to stimuli,Analysis,2015
utilize optical microscopy to observe bacteria swimming patterns,Experiments,2015
"carried out all laboratory experiments, data collection, and analysis",Experiments,2015
"carried out all laboratory experiments, data collection, and analysis",Analysis,2015
provided the team with project support and advice,Supervision,2015
taught the majority of the lab techniques used during the course of the competition,Training,2015
provided advice on the remaining techniques,Supervision,2015
provided advice at all stages of the project,Supervision,2015
contributed feedback and critique of data collection,Supervision,2015
contributed feedback and critique of data collection,Analysis,2015
aided with obtaining supplies and chemicals from commercial sources,Material Supply,2015
supplied numerous chemicals and supplies on short notice,Material Supply,2015
provided lab space,Material Supply,2015
provided supplies and chemicals,Material Supply,2015
aided with lab equipment usage,Training,2015
gathered funding from various university sources,Fundraising,2015
took care of logistics of forming a university team,Administration,2015
provided generous funding from the bioengineering department at the swanson school of engineering,Fundraising,2015
dna donations,Parts,2015
supplied many plasmids from the paper which inspired our work,Material Supply,2015
acknowledgements for helping make a successful igem team,Supervision,2015
assisted in cloning strategies,Training,2015
provided support and amenities,Material Supply,2015
provided chemicals and glasswares,Material Supply,2015
aided with additional chemicals,Material Supply,2015
delivered g-blocks,Material Supply,2015
provided primers,Material Supply,2015
provided enzymes,Material Supply,2015
provided pseudomonas aeruginosa strains,Material Supply,2015
provided escherichia coli bl21 strains,Material Supply,2015
supported during night stays,Supervision,2015
supported during night stays,Administration,2015
provided shipment support,Material Supply,2015
designed the team’s official banner,Creative Contributions,2015
provided funding support,Fundraising,2015
provided advice on clinical trials,Supervision,2015
provided advice on future prospects,Supervision,2015
provided advice on future prospects,Entrepreneurship,2015
helped finalize project idea,Design,2015
designed the website,Documentation,2015
designed the website,Software,2015
provided technical support for website,Software,2015
provided escherichia coli bl21 strains,Material Supply,2015
supported during night stays,Supervision,2015
supported during night stays,Administration,2015
provided shipment support,Material Supply,2015
designed the team’s official banner,Creative Contributions,2015
provided funding support,Fundraising,2015
provided advice on clinical trials,Supervision,2015
provided advice on future prospects,Supervision,2015
provided advice on future prospects,Entrepreneurship,2015
helped finalize project idea,Design,2015
designed the website,Documentation,2015
designed the website,Software,2015
provided technical support for website,Software,2015
aided the team with all the conceptual ideas and facts,Design,2015
assisted the team on various technical concepts,Supervision,2015
helped the team in cloning strategies,Experiments,2015
supported in synthetic biology works,Experiments,2015
working on microbiology works,Experiments,2015
working on wiki design,Documentation,2015
part of the microbiology team,Experiments,2015
team coordinator,Administration,2015
involves in synthetic biology,Experiments,2015
member of the human practices team,Human Practices,2015
aided the team with all the conceptual ideas and facts,Design,2015
assisted the team on various technical concepts,Supervision,2015
helped the team in cloning strategies,Experiments,2015
supported in synthetic biology works,Experiments,2015
working on microbiology works,Experiments,2015
working on wiki design,Documentation,2015
part of the microbiology team,Experiments,2015
team coordinator,Administration,2015
involves in synthetic biology,Experiments,2015
member of the human practices team,Human Practices,2015
member of the funding team,Fundraising,2015
member of the microbiology team,Experiments,2015
involves in social welfare,Human Practices,2015
vice president of the team,Administration,2015
involved in synthetic biology work,Experiments,2015
works for the human practices,Human Practices,2015
involved in lab works,Experiments,2015
wiki page designer,Documentation,2015
contributed to human practices team,Human Practices,2015
responsible for updating our wiki page,Documentation,2015
part of the wiki page team,Documentation,2015
part of the human practices team,Human Practices,2015
in charge of funding team,Fundraising,2015
part of the synthetic biology team,Experiments,2015
responsible for the wiki page updates,Documentation,2015
contributed for the team's collaboration,Collaboration,2015
lab team,Experiments,2015
poster team,Creative Contributions,2015
web team co-leader,Documentation,2015
web team co-leader,Software,2015
human practices leader,Human Practices,2015
lab team co-leader,Administration,2015
project leader,Administration,2015
vice captain,Administration,2015
poster team leader,Creative Contributions,2015
human practices,Human Practices,2015
team captain,Administration,2015
performed all the lab work,Experiments,2015
created the wiki and website,Documentation,2015
"designed the poster, logo, banner, and t-shirts",Creative Contributions,2015
led human practices,Human Practices,2015
works with the dna inserted into the moss,Experiments,2015
works with the dna inserted into the moss,Parts,2015
manipulation of moss in green lab,Experiments,2015
working on experiments simulating conditions on mars,Experiments,2015
working on experiments simulating conditions on mars,Design,2015
works with outreach and film editing,Public Engagement,2015
works with outreach and film editing,Creative Contributions,2015
doing transformations of moss in greenlab,Experiments,2015
purification of plasmids in e. coli for transformation procedures,Experiments,2015
working with outreach and web development,Public Engagement,2015
working with outreach and web development,Software,2015
designing experiments to test moss abilities,Design,2015
designing experiments to test moss abilities,Experiments,2015
working as photographer and designer,Creative Contributions,2015
working as photographer and designer,Documentation,2015
working on a new logo for spacemoss,Creative Contributions,2015
optimizing poster for presentation at mit,Creative Contributions,2015
works with webdesign,Documentation,2015
works with webdesign,Software,2015
building experiments testing moss in red lab,Experiments,2015
worked with branding and funding,Entrepreneurship,2015
worked with branding and funding,Fundraising,2015
helping with moss transformations in green lab,Experiments,2015
participated in moss transformations,Experiments,2015
experiments testing results in red lab,Experiments,2015
experiments testing results in red lab,Analysis,2015
help with the lab work,Experiments,2015
wiki design,Documentation,2015
advice with the experimental design,Design,2015
advice with the experimental design,Supervision,2015
providing lab and office space,Material Supply,2015
teaching how to handle moss,Training,2015
teaching propagation moss cultures,Training,2015
help with the experimental design,Design,2015
help with the experimental design,Supervision,2015
providing protocols for pcr,Training,2015
providing protocols for pcr,Material Supply,2015
providing protocols for purification of dna,Training,2015
providing protocols for purification of dna,Material Supply,2015
guiding from the start,Supervision,2015
help with outreach,Public Engagement,2015
help with funding,Fundraising,2015
advice and guidance throughout the project,Supervision,2015
being the moss guru,Other,2015
being a space enthusiast,Other,2015
giving feedback,Supervision,2015
supervision during weekends,Supervision,2015
help with homepage,Documentation,2015
help with posters,Creative Contributions,2015
help with connections to department,Collaboration,2015
help with finances,Fundraising,2015
help with coordination,Administration,2015
help with arrangements,Administration,2015
advising as igem project leader,Supervision,2015
advising past igem teams,Supervision,2015
judging in igem jamboree,Supervision,2015
scientific advice on mars,Supervision,2015
providing mars-soil substitute,Material Supply,2015
giving access to jens-martin mars-chamber,Material Supply,2015
advice on sesquiterpenoids production in moss,Supervision,2015
providing calm support,Supervision,2015
guidance on using jens-martin mars-chamber,Supervision,2015
help with brainstorming for red lab,Design,2015
designing the logo,Creative Contributions,2015
help with moss transformation,Experiments,2015
help with generating new ideas,Design,2015
creating the spacemoss comic,Creative Contributions,2015
visual storytelling,Creative Contributions,2015
help with building arduino software,Software,2015
help with building arduino hardware,Hardware,2015
running lc-ms on moss samples,Experiments,2015
general help,Other,2015
locating necessary materials,Material Supply,2015
help with extraction of plant material,Experiments,2015
guided on the feasibility of the project,Supervision,2015
contributed ideas,Design,2015
helped to obtain materials and sponsorships,Material Supply,2015
helped to obtain materials and sponsorships,Fundraising,2015
gave input and feedback on presentation,Supervision,2015
gave input and feedback on presentation,Creative Contributions,2015
helped troubleshoot lab problems,Experiments,2015
helped troubleshoot lab problems,Supervision,2015
contributed to outreach aspect,Public Engagement,2015
"provided lab space, equipment, and technical guidance",Material Supply,2015
"provided lab space, equipment, and technical guidance",Supervision,2015
allocated financial support for outreach,Fundraising,2015
allocated financial support for outreach,Public Engagement,2015
gave input and feedback on promotional leaflets,Creative Contributions,2015
involved team in university of york open days,Public Engagement,2015
involved team in outreach event with fulford school,Public Engagement,2015
helped with microscopy and flow cytometry,Experiments,2015
provided imaging reagents,Material Supply,2015
helped develop nmr protocol,Experiments,2015
ran nmr experiments,Experiments,2015
assisted with statistical analysis,Analysis,2015
taught modeling of constructs,Training,2015
taught modeling of constructs,Modelling,2015
advised on polyphosphate assay,Supervision,2015
advised on polyphosphate assay,Experiments,2015
produced team banner,Creative Contributions,2015
helped with travel arrangements and managing orders,Administration,2015
sent plasmids,Collaboration,2015
sent plasmids,Material Supply,2015
allowed use of venue for outreach event,Public Engagement,2015
allowed discussion on genetic engineering at day club,Public Engagement,2015
hosted christian discussion group on ethics of gm,Human Practices,2015
allowed outreach workshop with year 3 class,Public Engagement,2015
allowed talk and discussion on genetic modification,Public Engagement,2015
booked flights to the giant jamboree,Administration,2015
responsible for the synthetic construct design of our project,Design,2015
managed the dry lab research before the summer wet lab session,Analysis,2015
managed the dry lab research before the summer wet lab session,Administration,2015
planning the project with the team,Design,2015
planning the project with the team,Administration,2015
designing our parts,Design,2015
designing our parts,Parts,2015
ordering primers for the team,Material Supply,2015
led the molecular biology team in their research,Supervision,2015
led the molecular biology team in their research,Experiments,2015
building our new biobrick devices,Experiments,2015
building our new biobrick devices,Parts,2015
worked on dry and wet lab aspects of this year's project,Experiments,2015
worked on dry and wet lab aspects of this year's project,Analysis,2015
participated in some outreach activities,Public Engagement,2015
managing the team's social media accounts,Public Engagement,2015
team collaborations,Collaboration,2015
worked in the molecular biology team,Experiments,2015
mini-prepping plasmids,Experiments,2015
nanodropping samples,Experiments,2015
running gels,Experiments,2015
responsible for uploading content to the wiki,Documentation,2015
designing the poster for the giant jamboree,Creative Contributions,2015
carried out research and lab work as part of the molecular biology team,Experiments,2015
carried out research and lab work as part of the molecular biology team,Design,2015
responsible for organising the travel to boston,Administration,2015
securing sponsorships,Fundraising,2015
maintaining supplies for the lab,Material Supply,2015
general budgeting,Administration,2015
involved with outreach,Public Engagement,2015
other human practices work,Human Practices,2015
presented our project at the giant jamboree,Public Engagement,2015
presented our project at the giant jamboree,Creative Contributions,2015
specialised in the phosphate assay,Experiments,2015
specialised in the phosphate assay,Analysis,2015
specialised in the business plan,Entrepreneurship,2015
designed phosphate measurement experiments,Design,2015
designed phosphate measurement experiments,Experiments,2015
wrote our team's business plan,Documentation,2015
wrote our team's business plan,Entrepreneurship,2015
contacting national wastewater companies,Human Practices,2015
contacting national wastewater companies,Entrepreneurship,2015
constructing a potential path for our project to become a marketable product,Entrepreneurship,2015
participated in dry lab research,Analysis,2015
helped guide the phosphate and growth assay teams,Supervision,2015
helped guide the phosphate and growth assay teams,Experiments,2015
responsible for scheduling plate reader experiments,Experiments,2015
responsible for scheduling plate reader experiments,Administration,2015
managing overnight cultures,Experiments,2015
analysing data for both aspects of the project,Analysis,2015
worked with adam to complete a model for our project,Modelling,2015
worked with adam to complete a model for our project,Collaboration,2015
worked in dry lab research,Analysis,2015
dry lab research,Analysis,2015
work with the growth assay team,Experiments,2015
work with the growth assay team,Collaboration,2015
responsible for designing our wiki template,Documentation,2015
general wiki content formatting,Documentation,2015
worked with mat on the modeling side of our project,Modelling,2015
provided input for our presentation in boston,Creative Contributions,2015
participated in outreach events,Public Engagement,2015
invested time into outreach,Public Engagement,2015
worked in the phosphate assay team,Experiments,2015
designed and distributed flyers about our team,Creative Contributions,2015
designed and distributed flyers about our team,Public Engagement,2015
held demonstrations of dna extraction experiments,Experiments,2015
held demonstrations of dna extraction experiments,Public Engagement,2015
went to several discussions held with various groups in york,Public Engagement,2015
participated in dry lab research sessions,Analysis,2015
participated in a wet lab team,Experiments,2015
spent his summer with the growth assay team,Experiments,2015
helped analyse the phosphate assay team's work,Analysis,2015
helped with some of the coding on our wiki page,Documentation,2015
helped with some of the coding on our wiki page,Software,2015
dedicated some time to dry lab research,Analysis,2015
worked on the growth assay team,Experiments,2015
participated in several outreach events,Public Engagement,2015
crucial to the animations in our presentation,Creative Contributions,2015
drawings on the registry of standard biological parts,Documentation,2015
drawings on the registry of standard biological parts,Parts,2015
helped liz keep our social media followers updated with outreach events,Public Engagement,2015
helped with dry lab research,Analysis,2015
helped with the imaging of phosphate,Experiments,2015
used confocal microscopy and dapi staining to visualise phosphate intake into our cell- phil,Experiments,2015
extensive outreach work,Public Engagement,2015
working with the phosphate assay team,Experiments,2015
part of the university's concert orchestra,Other,2015
part of the ballet society,Other,2015
overseen molecular biology experiments,Supervision,2015
overseen molecular biology experiments,Experiments,2015
designed synthetic gene constructs,Design,2015
designed synthetic gene constructs,Parts,2015
worked on the growth assay aspect of the project,Experiments,2015
outreach program,Public Engagement,2015
becoming a master animator,Creative Contributions,2015
part of the social media team,Public Engagement,2015
worked with the growth assay team,Experiments,2015
developed a functional test,Experiments,2015
developed a functional test,Design,2015
extensive work on the wiki page,Documentation,2015
confocal microscopy imaging,Experiments,2015
fluorescence-based sensitive assays,Experiments,2015
worked in the lab with the molecular biology team,Experiments,2015
maintains the social media accounts,Public Engagement,2015
organise various team events,Administration,2015
part of the wiki team,Documentation,2015
part of the molecular biology team,Experiments,2015
carried out research and lab work,Design,2015
carried out research and lab work,Experiments,2015
organising travel to boston,Administration,2015
organising the analysis of engineered e.coli,Analysis,2015
creating a phosphate and polyphosphate assay,Experiments,2015
writing the team’s business plan,Entrepreneurship,2015
writing the team’s business plan,Documentation,2015
working on the growth and phosphate assays,Experiments,2015
wiki work,Documentation,2015
worked on the phosphate assay,Experiments,2015
wiki page,Documentation,2015
co-ordinating outreach activities,Public Engagement,2015
getting team funding,Fundraising,2015
recruiting new members,Administration,2015
liaising with staff,Administration,2015
liaising with staff,Supervision,2015
developing a biosensor,Design,2015
developing a biosensor,Experiments,2015
helping troubleshoot lab problems,Supervision,2015
supervising,Supervision,2015
providing advice on various protocols,Supervision,2015
worked on the phosphate assay,Experiments,2015
wiki page,Documentation,2015
co-ordinating outreach activities,Public Engagement,2015
getting team funding,Fundraising,2015
recruiting new members,Administration,2015
liaising with staff,Administration,2015
liaising with staff,Supervision,2015
developing a biosensor,Design,2015
developing a biosensor,Experiments,2015
helping troubleshoot lab problems,Supervision,2015
supervising,Supervision,2015
providing advice on various protocols,Supervision,2015
helping the igem team find chemical solutions,Experiments,2015
tinkering with e. coli,Experiments,2015
running the york igem team,Administration,2015
studying interactions between bacteriophage and their hosts,Experiments,2015
studying interactions between bacteriophage and their hosts,Analysis,2015
helping the igem team find chemical solutions,Experiments,2015
tinkering with e. coli,Experiments,2015
running the york igem team,Administration,2015
studying interactions between bacteriophage and their hosts,Experiments,2015
studying interactions between bacteriophage and their hosts,Analysis,2015
expression guide,Documentation,2016
expression guide,Parts,2016
functional architecture,Design,2016
functional architecture,Modelling,2016
compatibility,Design,2016
compatibility,Parts,2016
wet lab,Experiments,2016
phd candidate on open source with focus on synthetic biology,Documentation,2016
phd candidate on open source with focus on synthetic biology,Software,2016
phd candidate on open source with focus on synthetic biology,Design,2016
kite surf,Other,2016
majoring in biochemistry,Experiments,2016
majoring in biochemistry,Parts,2016
majoring in electrical engineering,Hardware,2016
majoring in electrical engineering,Software,2016
involved in several nonprofits,Human Practices,2016
involved in several nonprofits,Public Engagement,2016
manage a local youth soccer league,Administration,2016
manage a local youth soccer league,Public Engagement,2016
completed an undergrad degree in bioengineering,Other,2016
love food and sleep,Other,2016
grad in bioengineering,Other,2016
enjoy painting and drawing,Other,2016
phd,Other,2016
jd,Other,2016
raised enough money to enter 4 boys and the pi to jamboree,Fundraising,2016
entered igem,Other,2016
attended numerous conferences,Public Engagement,2016
interned at cybio and labgenius,Other,2016
contributed to research,Design,2016
contributed to research,Analysis,2016
contributed to experimental design,Design,2016
created the team's wiki,Documentation,2016
provides intellectual support,Supervision,2016
research,Design,2016
research,Analysis,2016
badgering potential sponsors,Fundraising,2016
arguing with clemens,Other,2016
head of human practices,Human Practices,2016
written several articles and pamphlets,Documentation,2016
written several articles and pamphlets,Public Engagement,2016
contributed to the team's research,Design,2016
contributed to the team's research,Analysis,2016
carried out numerous experiments,Experiments,2016
searched for potential sponsors,Fundraising,2016
written articles on synthetic biology,Documentation,2016
carries out mini-prep isolation,Experiments,2016
carries out restriction digests,Experiments,2016
carries out ligation,Experiments,2016
carries out purification,Experiments,2016
created works of art on the wiki,Documentation,2016
created works of art on the wiki,Creative Contributions,2016
involved in experiments,Experiments,2016
researched various topics,Design,2016
helped out in the lab,Experiments,2016
carrying out experiments,Experiments,2016
wrote brief biographies,Documentation,2016
worked out the folding of primers,Experiments,2016
worked out the folding of primers,Analysis,2016
wrote an article,Documentation,2016
wrote an article,Public Engagement,2016
organizing the project,Administration,2016
coordinating the project,Administration,2016
taught synthetic biology,Training,2016
taught synthetic biology,Public Engagement,2016
taught microbiological techniques and ways of working in sterile environment,Training,2016
taught molecular biology techniques,Training,2016
taught basic techniques and discussed cloning strategies,Training,2016
taught all the experimental techniques used and safety procedures,Training,2016
taught all the experimental techniques used and safety procedures,Safety,2016
discussed methods specific to working with synechocystis pcc6803,Training,2016
advised on cloning strategies,Supervision,2016
acted as point of contact for hse,Safety,2016
worked on the wiki,Documentation,2016
created charcoal drawings for the wiki,Documentation,2016
created charcoal drawings for the wiki,Creative Contributions,2016
helped with copying and pasting of code on the wiki,Documentation,2016
helped with printing the poster,Creative Contributions,2016
researched human practices aspects of the project,Human Practices,2016
made cryptogerm art,Creative Contributions,2016
made cryptogerm logo,Creative Contributions,2016
original design for cryptogerm logo,Creative Contributions,2016
teamwork icon,Creative Contributions,2016
connection icon,Creative Contributions,2016
software engineering icon,Creative Contributions,2016
idea settings icon,Creative Contributions,2016
toolbox icon,Creative Contributions,2016
dna icon,Creative Contributions,2016
scissors icon,Creative Contributions,2016
petri icon,Experiments,2016
check mark icon,Documentation,2016
check mark icon,Administration,2016
erlenmeyer flask icon,Experiments,2016
up icon,Analysis,2016
up icon,Software,2016
plus and minus icons,Modelling,2016
plus and minus icons,Experiments,2016
safety goggle icon,Safety,2016
lab coat icon,Safety,2016
lab coat icon,Experiments,2016
forbidden food icon,Safety,2016
hand washing icon,Safety,2016
checked icon,Documentation,2016
checked icon,Administration,2016
editing videos,Creative Contributions,2016
igem giant jamboree photos,Creative Contributions,2016
modelling in cryptogerm,Modelling,2016
help with modelling,Modelling,2016
built software & wiki,Software,2016
built software & wiki,Documentation,2016
help with software & wiki,Software,2016
help with software & wiki,Documentation,2016
aes in javascript,Software,2016
crc16-ccitt in javascript,Software,2016
feedback on modelling,Supervision,2016
feedback on modelling,Modelling,2016
inspiration for modelling,Modelling,2016
managed human practices,Human Practices,2016
help with human practices,Human Practices,2016
cbrn safety and security,Safety,2016
comments on project development,Supervision,2016
facilities and interview,Material Supply,2016
facilities and interview,Human Practices,2016
orientation in gmo regulations,Training,2016
orientation in gmo regulations,Safety,2016
orientation in gmo regulations,Human Practices,2016
feedback on survey,Analysis,2016
feedback on survey,Human Practices,2016
working in the lab,Experiments,2016
supplied spirofloxacin,Material Supply,2016
chemical expertise,Experiments,2016
chemical expertise,Safety,2016
managed human practices,Human Practices,2016
help with human practices,Human Practices,2016
cbrn safety and security,Safety,2016
