Activity,Matching
"participated in igem in 2014, main task is work in the modeling department",Collaboration
"participated in igem in 2014, main task is work in the modeling department",Modelling
"participating in igem for the first time, wants to expand knowledge about gene editing and molecular biology",Training
"participating in igem for the first time, wants to expand knowledge about gene editing and molecular biology",Design
"studying biomolecular engineering in her first master semester, highly motivated to carry out the synthetic biology project",Training
"studying biomolecular engineering in her first master semester, highly motivated to carry out the synthetic biology project",Experiments
"first time participating in igem, optimistic and excited about the project",Training
"first time participating in igem, optimistic and excited about the project",Design
heard a lot of positives about the project and wants to assure herself of these advices,Collaboration
heard a lot of positives about the project and wants to assure herself of these advices,Supervision
"fascinated by the igem-team's performances of the last years, wants to learn from the more experienced team members",Collaboration
"fascinated by the igem-team's performances of the last years, wants to learn from the more experienced team members",Supervision
fascinated by the opportunity to work together in a group and learn new laboratoric techniques,Collaboration
fascinated by the opportunity to work together in a group and learn new laboratoric techniques,Training
"envisaged participating in igem for years, glad to participate in the project with the tu darmstadt team",Collaboration
"envisaged participating in igem for years, glad to participate in the project with the tu darmstadt team",Supervision
motivated to learn how to plan and perform a project by herself or in a group,Training
"first time participating in igem, fascinated by the ideas and realizations of the igem students",Collaboration
"first time participating in igem, fascinated by the ideas and realizations of the igem students",Training
"participating in igem for the first time, expecting to improve own abilities and broaden horizon",Training
"positive experiences last year, knowledge gained from the project, project coordinator this year",Supervision
"participated in igem last year, hoping to pass on experiences to new members",Supervision
"heard about igem by chance, fascinated by the opportunity to work independently or in a group and do research",Collaboration
"heard about igem by chance, fascinated by the opportunity to work independently or in a group and do research",Training
"first time participating in igem, fascinated by the concept of introducing own ideas in an open project",Collaboration
"studying biology in the 4th semester, fascinated by the older projects and wanted to take part in one",Human Practices
"developed new skills beyond expectations, looking forward to changing experiences with igem members from around the world",Training
glad to support the igem team and optimize own efficiency,Administration
"second time participating in igem, hopes to pass experience down to new generation",Supervision
"second igem year, responsible for trainings and seminars for team members",Training
"first time participating in igem, looking forward to technical challenge and learning about complex biological processes",Training
"attention for igem was called by a former member, looking forward to working practically and gaining new skills",Training
"participated in last year's igem team, gathered positive experience and networking with motivated students",Collaboration
"second time participating in igem, looking forward to challenges and sharing experiences with new team members",Collaboration
"first time participating in igem, excited about collaboration with students from different departments",Collaboration
"participated in igem last year, learned a lot about lab work, now part of project coordination",Collaboration
"participated in igem last year, learned a lot about lab work, now part of project coordination",Administration
"trained chemical technical assistant, interested in biological projects, helped with human practices project",Training
"trained chemical technical assistant, interested in biological projects, helped with human practices project",Human Practices
"troubleshooting, advising, and letting us use the ihvcb lab for the experiments",Supervision
consulting and advising our modeling division,Supervision
every consultation and advices,Supervision
advising our human practice event and introducing our team to several interviewees for our social studies,Supervision
every particular support given,Supervision
financial and fundraising consultation,Fundraising
"advising, and supporting every human practice studies we’ve done",Supervision
always checking our progress and being our presentation coach,Supervision
lab support,Material Supply
sharing and spreading the news about our event,Public Engagement
"visiting and supporting our exhibition booth during education fair, may 28-29th 2016",Public Engagement
synbio day integrating technology and socio-culture perspective speaker,Public Engagement
grant our wish to conduct school visit event,Public Engagement
public discussion forum,Public Engagement
street interview,Public Engagement
special talk for social studies,Public Engagement
financial and funding support,Fundraising
helping us determine our project before this summer and offering guidance and advice during the summer holiday,Supervision
allowing us to use the fluorescence microscope in his lab,Hardware
providing us with bacteria carrying the plasmid containing sup35nm gene,Material Supply
offering the genome of the yeast and the pyescgap plasmid to us,Material Supply
helping us with our experiments,Experiments
providing great support on our lab and reagents,Material Supply
allowing us to use their micro-spectrophotometer,Hardware
advising us on our project,Supervision
offering us pgad-t7 plasmid and pgbk-t7 plasmid,Material Supply
helping us with image processing,Analysis
helping us on 2016 ustc new team recruitment,Collaboration
providing us with the opportunity to share ideas and make progress together,Collaboration
taking in charge of daily affairs in lab,Administration
project outreach through social network and activities,Public Engagement
hosting the preliminary investigation,Experiments
attributing work to team members,Administration
managing the global experiment design and the project progress,Design
taking part in the construction of the pro priontein system,Parts
writing the contents of our wiki,Documentation
focusing on the academic assistance,Training
working a lot for the preliminary investigation especially on the characteristics of sup35,Experiments
assisting our experiments,Experiments
taking charge of adding parts to the registry,Parts
focusing on the logistical support,Administration
taking charge of making the competent cells,Experiments
preparing mediums,Experiments
instructing other team members in performing experiments,Training
taking charge of financial affairs,Fundraising
connecting with our sponsor,Fundraising
register of our team,Administration
register of the giant jamboree,Administration
assisting team members to get the visa,Administration
shipping our parts to hq,Material Supply
assisting writing our wiki,Documentation
leader of the group focusing on the experiments of the propri-ontein system,Experiments
finishing 3 circuits of this system,Experiments
main performer of the experiments,Experiments
devoting more time than others to our experiment,Experiments
assisting the experiments of other groups,Experiments
main performer of our modeling part,Modelling
main performer of the preliminary investigation,Experiments
taking charge of helping team bit with their modeling,Modelling
assisting a lot of experiments,Experiments
leader of the group focusing on the experiments of the pro priontein system,Experiments
finishing 4 circuits of this system,Experiments
working a lot for the preliminary investigation,Experiments
designing the experiments of gfp split and performing those,Experiments
writing the contents around the pro priontein system on our wiki,Documentation
vice leader of the group focusing on the experiments of the pro priontein system,Experiments
performing a lot of experiments,Experiments
taking charge of designing and buying our team uniform,Creative Contributions
taking charge of observing results through the fluorescence microscope,Experiments
leader of our modeling group,Modelling
giving lectures about modeling to our members,Training
taking charge of our modeling,Modelling
taking charge of the collaboration with team bit,Collaboration
assisting experiments and wiki writing,Experiments
taking charge of writing the codes of our wiki,Documentation
shooting a film about the molecular biology experiments to train our team member,Creative Contributions
assisting the art design,Creative Contributions
taking charge of the poster design,Creative Contributions
assisting the experiments and human practices,Experiments
assisting the experiments and human practices,Human Practices
main performer of our experiments,Experiments
taking part in the experiments of both systems of our project,Experiments
assisting hosting the weekly meeting,Administration
assisting the preliminary investigation,Design
assisting human practices,Human Practices
assisting writing our wiki and registering our parts,Documentation
taking part in the experiments of the propri-ontein system,Experiments
writing the contents around the propri-ontein system on our wiki,Documentation
assisting our human practices,Human Practices
taking part in the experiments of the pro priontein system,Experiments
working a lot on our experiments,Experiments
taking charge of designing and printing the calling card of our team,Creative Contributions
the proposer of doing a project around the yeast prion,Design
assisting all the experiments,Experiments
observing results through fluorescence microscope,Experiments
taking charge of our human practices,Human Practices
assisting experiments,Experiments
writing the contents around human practices on our wiki,Documentation
assisting the experiments of all groups,Experiments
helping design our mascot,Creative Contributions
assisting experiments and modeling,Experiments
taking charge of programming our spin-off software,Software
taking charge of designing and making our hardware,Hardware
giving lectures about hardwares to our team members,Training
assisting writing codes of our wiki,Documentation
assisting proofreading our wiki,Documentation
assisting experiments and human practices,Experiments
assisting our modeling,Modelling
assisting the experiments,Experiments
taking charge of proofreading our experiment logs and wiki,Documentation
assisting art design,Creative Contributions
helping with the cartography,Creative Contributions
assisting the wiki design,Documentation
managing human practices,Human Practices
managing the encoding life association (ela) organized by our team,Administration
leader of our team,Administration
good ability of organizing,Administration
smart and hardworking,Supervision
recognized as a human-figure computer,Supervision
provides answers to any questions,Supervision
king of the logistic support,Administration
responsible for preparing all necessary items,Material Supply
takes control of making competence yeasts,Experiments
outgoing and responsible team manager,Administration
completes boring tasks for convenience,Administration
performs main tasks of molecular cloning,Experiments
willing to help others in experiments,Experiments
cautious and great experiment performer,Experiments
hard-working in the lab,Experiments
friendly and brings happiness to the team,Collaboration
friendly and brings happiness to the team,Creative Contributions
plays an important role in the team,Collaboration
plays an important role in the team,Administration
helpful teammate and talented future biologist,Collaboration
helpful teammate and talented future biologist,Training
designed team uniforms,Creative Contributions
rigorous researcher and provides great assurance,Supervision
offers help and professional guidance in modeling,Supervision
offers help and professional guidance in modeling,Modelling
creative boy who loves designing and coding,Creative Contributions
creative boy who loves designing and coding,Software
cyber guy of the group,Software
excellent performance in biological experiments,Experiments
practical ideas when confronted with troubles,Design
practical ideas when confronted with troubles,Collaboration
academic and professional,Administration
made lively specimens of butterflies and moths,Creative Contributions
expert in the field of plastic,Parts
hardworking and intelligent,Supervision
compensates for shortcomings with hard work,Supervision
devotes lots of time to the team,Administration
good at performing experiments,Experiments
shows great respect to everyone,Human Practices
in charge of human practice work,Human Practices
deals with all kinds of people,Human Practices
stimulus and talker,Human Practices
easygoing and creative,Creative Contributions
good at computer science,Software
hardworking and expert in experiments,Experiments
accomplishes tasks perfectly,Administration
funny and active in the lab,Creative Contributions
warm-hearted and unifies the team,Collaboration
works efficiently and always ready to help,Administration
skilled and not simple or naive,Training
strict with everything,Safety
warm-hearted and brings happiness,Creative Contributions
nice boy with enthusiasm,Creative Contributions
smart girl who applies bioknowledge to help,Creative Contributions
good command of editing and designing,Documentation
loves laughing and gets along well with others,Collaboration
strong sense of responsibility,Administration
founding dean of the school of life sciences,Supervision
responsible for various aspects of teaching and research,Supervision
running research projects,Supervision
recruited from overseas,Collaboration
honored as 'one hundred talented people' of the chinese academy of sciences,Creative Contributions
honored as china national funds for distinguished young scientists,Creative Contributions
changjiang river scholar award scheme professors,Creative Contributions
taking various courses,Training
playing important roles in high education of scientific research,Training
making prominent contributions to national sciences,Creative Contributions
honored by various awards and medals from academic societies,Creative Contributions
honored as the awards for national 100 excellent phd thesis,Creative Contributions
honored as the excellent phd thesis of the chinese academy of sciences,Creative Contributions
helped us determine the topic of our project,Design
gave us lots of valuable advices in basic biology,Supervision
instructed us by his lecture of synthetic biology,Training
provided us a high performance server to operate the backend,Hardware
offered us beneficial advices on software programming,Supervision
generously provided a room of long-term use for us making great progresses,Material Supply
genuine support throughout our project,Supervision
did not stint their warm concern and professional assistance in their replying our mails during our development process,Supervision
project management,Administration
docker & unit test,Software
art,Creative Contributions
biology support,Experiments
biobrick management,Parts
module: pano,Software
module: pathway_finder,Software
module: forum,Software
module: simulation,Modelling
module: blast,Analysis
module: abacus,Analysis
module: biobrick_manager,Parts
arranging the fund,Fundraising
full support of our project and our trip to the usa,Administration
financial support on our project,Fundraising
contributed to the consummation of our project,Collaboration
joined nearly all the activities,Collaboration
vice team leader,Administration
responsible for making competence yeasts,Experiments
team manager,Administration
outgoing and gentle,Human Practices
great experiment performer,Experiments
hard-working in lab,Experiments
friendly,Collaboration
friendly,Creative Contributions
friendly,Human Practices
friendly,Public Engagement
warm-hearted,Collaboration
warm-hearted,Creative Contributions
warm-hearted,Human Practices
warm-hearted,Public Engagement
helpful teammate,Collaboration
helpful teammate,Creative Contributions
helpful teammate,Human Practices
helpful teammate,Public Engagement
talented future biologist,Design
talented future biologist,Experiments
talented future biologist,Parts
talented future biologist,Training
young and promising researcher,Design
young and promising researcher,Experiments
young and promising researcher,Parts
young and promising researcher,Training
rigorous in his work,Analysis
rigorous in his work,Documentation
rigorous in his work,Modelling
rigorous in his work,Supervision
cyber guy of our group,Software
cyber guy of our group,Hardware
creative boy full of fancy ideas,Design
creative boy full of fancy ideas,Creative Contributions
creative boy full of fancy ideas,Public Engagement
majors in physics,Modelling
