Activity,Matching,year
design and creation of the 71 biobricks,Design,2015
design and creation of the 71 biobricks,Parts,2015
in charge of the interlab study,Interlab,2015
molecular biology,Experiments,2015
making cell lysates for enzyme characterisation,Experiments,2015
designed and created the 71 biobricks,Parts,2015
assisted in the interlab study,Interlab,2015
part of the kent igem team,Other,2015
working on the modeling,Modelling,2015
working on the wiki,Documentation,2015
helped the wet lab team,Experiments,2015
part of the kent fungal group,Other,2015
part of the protein form and function group,Other,2015
part of the centre for molecular processing,Other,2015
part of the microbial pathogenesis group,Other,2015
helped the modeling team,Modelling,2015
idea to create a monte carlo simulation,Modelling,2015
part of the cytogenomics and bioinformatics group,Analysis,2015
developed a new software,Software,2015
part of the policy and practice team,Human Practices,2015
carried out wet lab experiments,Experiments,2015
organised and coded the wiki,Documentation,2015
interviewed international politicians,Human Practices,2015
developed a questionnaire on synthetic biology,Human Practices,2015
constructed the parameters list for the modelling,Modelling,2015
designing the project,Design,2015
rendered equations into a new software tool,Software,2015
rendered 3d animations of our system,Software,2015
created the code for the wiki pages,Documentation,2015
created the code for the wiki pages,Software,2015
performed transformations,Experiments,2015
produced competent cells,Experiments,2015
helped capture pictures with the atomic force microscope,Experiments,2015
ran the organisational infrastructure of the team,Administration,2015
managed the social network channels,Public Engagement,2015
overall communications with other teams,Collaboration,2015
liaised the collaborations with the unitn igem team,Collaboration,2015
wrote our post note,Documentation,2015
helped in the creation of a questionnaire on synthetic biology,Human Practices,2015
designed and created a gui for our projects,Software,2015
designed our banner,Creative Contributions,2015
validation of our fusion protein by afm imaging,Experiments,2015
congo red and heme plating,Experiments,2015
did mostly transformations,Experiments,2015
helped with various protocol,Experiments,2015
played a key part in the scientific writing of our project,Documentation,2015
involved in all the wet lab aspects of our project,Experiments,2015
carried out ligations,Experiments,2015
pcr reactions,Experiments,2015
run diagnostic restriction digest gels,Experiments,2015
involved in our outreach events,Public Engagement,2015
creating our posters and envirowire logo,Creative Contributions,2015
presented at our outreach events,Public Engagement,2015
managed the social networking of the team,Public Engagement,2015
designed our presentations,Creative Contributions,2015
helped with the scientific and wiki writing,Documentation,2015
held the main wet lab team in carrying out diagnostic congo red plating and transformations,Experiments,2015
took part in designing and writing the wiki,Design,2015
took part in designing and writing the wiki,Documentation,2015
creating the kent igem logo,Creative Contributions,2015
carried out mini-preps,Experiments,2015
gibson assembly,Experiments,2015
ligations,Experiments,2015
transformations,Experiments,2015
producing competent cells,Experiments,2015
contributed to scientific writing for the biobrick parts,Documentation,2015
contributed to scientific writing for the biobrick parts,Parts,2015
took part in carrying out restriction dna digestion,Experiments,2015
ligation reactions,Experiments,2015
identifying and designing biobrick parts to improve,Design,2015
identifying and designing biobrick parts to improve,Parts,2015
results writing,Documentation,2015
results writing,Analysis,2015
gathering mps opinion on synthetic biology,Human Practices,2015
aiding in the design of our questionnaire,Human Practices,2015
conducted interviews,Human Practices,2015
presented our project to other teams at our meet-ups,Collaboration,2015
presented our project to other teams at our meet-ups,Public Engagement,2015
carried out gibson assembly and diagnostics tests,Experiments,2015
validating the conductivity of our fusion protein,Experiments,2015
work on an interesting project,Other,2015
experience the day to day difficulties of working in a molecular biology lab,Experiments,2015
learn more about synthetic biology,Training,2015
learn about genetic engineering,Training,2015
apply what he learns and experiences during igem to every challenge in his career,Other,2015
expand his knowledge within the field of synthetic biology,Training,2015
helped bring igem to the university of pittsburgh,Administration,2015
provided project support and advice,Supervision,2015
taught lab techniques,Training,2015
helped bring iGEM to Pitt,Administration,2015
helped bring iGEM to Pitt,Public Engagement,2015
provided advice at all stages of the project,Supervision,2015
contributed feedback and critique of data collection,Supervision,2015
contributed feedback and critique of data collection,Analysis,2015
aided with obtaining supplies and chemicals,Material Supply,2015
supplied chemicals and supplies on short notice,Material Supply,2015
provided lab space,Material Supply,2015
provided supplies and chemicals,Material Supply,2015
aided with lab equipment usage,Training,2015
aided with lab equipment usage,Material Supply,2015
gathered funding from university sources,Fundraising,2015
took care of logistics of forming a university team,Administration,2015
provided funding from the bioengineering department,Fundraising,2015
assisted in cloning strategies,Experiments,2015
provided amenities,Material Supply,2015
provided chemicals and glasswares,Material Supply,2015
aided with additional chemicals,Material Supply,2015
delivered g-blocks,Material Supply,2015
provided primers,Material Supply,2015
provided enzymes,Material Supply,2015
provided pseudomonas aeruginosa strains,Material Supply,2015
provided escherichia coli bl21 strains,Material Supply,2015
supportive during night stays,Supervision,2015
timely support in shipping,Material Supply,2015
designed official banner,Creative Contributions,2015
support regarding funding,Fundraising,2015
advice regarding clinical trials,Supervision,2015
advice regarding clinical trials,Safety,2015
advice regarding future prospects,Supervision,2015
advice regarding future prospects,Entrepreneurship,2015
helped finalize project idea,Design,2015
helped finalize project idea,Supervision,2015
designed the website,Documentation,2015
designed the website,Software,2015
provided technical support for website,Software,2015
provided technical support for website,Supervision,2015
aided the team with all the conceptual ideas and facts,Design,2015
aided the team with all the conceptual ideas and facts,Supervision,2015
assisted the team on various technical concepts,Supervision,2015
helped the team in cloning strategies,Supervision,2015
helped the team in cloning strategies,Experiments,2015
supported in synthetic biology works,Supervision,2015
working on microbiology works,Experiments,2015
working on wiki design,Documentation,2015
part of the microbiology team,Experiments,2015
team coordinator,Administration,2015
involves in synthetic biology,Experiments,2015
active member of the human practices team,Human Practices,2015
active member of the funding team,Fundraising,2015
active member of the microbiology team,Experiments,2015
involves in social welfare,Human Practices,2015
involved in synthetic biology work,Experiments,2015
part of the funding team,Fundraising,2015
works for the human practices,Human Practices,2015
lab works,Experiments,2015
wiki design,Documentation,2015
wiki page designer,Documentation,2015
member of the human practices team,Human Practices,2015
contributed to human practices team,Human Practices,2015
updating our wiki page,Documentation,2015
part of the wiki page team,Documentation,2015
part of human practices,Human Practices,2015
in charge of funding team,Fundraising,2015
integral part of the synthetic biology team,Other,2015
part of the human practices team,Human Practices,2015
responsible for the wiki page updates,Documentation,2015
contributed for the team's collaboration,Collaboration,2015
part of the human practices,Human Practices,2015
lab team,Experiments,2015
poster team,Creative Contributions,2015
web team co-leader,Documentation,2015
human practices leader,Human Practices,2015
lab team co-leader,Experiments,2015
project leader,Administration,2015
vice captain,Administration,2015
poster team leader,Creative Contributions,2015
human practices,Human Practices,2015
team captain,Administration,2015
performed all the lab work,Experiments,2015
created the wiki and website,Documentation,2015
"designed the poster, logo, banner, and t-shirts",Creative Contributions,2015
led human practices,Human Practices,2015
works with the dna inserted into the moss,Experiments,2015
behind large parts of the work in the manipulation of moss in green lab,Experiments,2015
working on experiments in red lab,Experiments,2015
working with outreach,Public Engagement,2015
film editing,Creative Contributions,2015
doing transformations of moss in greenlab,Experiments,2015
purification of plasmids in e. coli for transformation procedures,Experiments,2015
web development,Software,2015
designing experiments to test moss abilities,Design,2015
designing experiments to test moss abilities,Experiments,2015
photographer,Documentation,2015
designer,Creative Contributions,2015
working on a new logo for spacemoss,Creative Contributions,2015
optimizing our poster for presentation at MIT,Creative Contributions,2015
optimizing our poster for presentation at MIT,Public Engagement,2015
webdesign,Software,2015
building experiments that test our moss in red lab,Experiments,2015
branding,Creative Contributions,2015
branding,Public Engagement,2015
funding,Fundraising,2015
helping with the moss transformations in green lab,Experiments,2015
participated in the moss transformations,Experiments,2015
participated in experiments testing the results in red lab,Experiments,2015
help with the lab work,Experiments,2015
advice on experimental design,Supervision,2015
advice on experimental design,Design,2015
lab and office space,Material Supply,2015
taught how to handle moss,Training,2015
help with the experimental design,Design,2015
help with the experimental design,Supervision,2015
protocols for pcr,Experiments,2015
purification of dna,Experiments,2015
guiding from the start,Supervision,2015
help with outreach,Public Engagement,2015
help with funding,Fundraising,2015
advice and guidance throughout the project,Supervision,2015
feedback,Supervision,2015
supervision during weekends,Supervision,2015
practical help with homepage,Documentation,2015
practical help with posters,Creative Contributions,2015
connections to department,Material Supply,2015
finances,Fundraising,2015
coordination,Administration,2015
arrangements,Administration,2015
advised the team,Supervision,2015
scientific advice on mars,Supervision,2015
scientific advice on mars,Design,2015
mars-soil substitute,Experiments,2015
mars-soil substitute,Design,2015
access to jens-martin mars-chamber,Material Supply,2015
advice on sesquiterpenoids production,Supervision,2015
advice on sesquiterpenoids production,Design,2015
guidance on jens-martin mars-chamber,Supervision,2015
guidance on jens-martin mars-chamber,Material Supply,2015
brainstorming for red lab,Design,2015
designed the logo,Creative Contributions,2015
help with moss transformation,Experiments,2015
new ideas,Design,2015
spacemoss comic,Creative Contributions,2015
help with arduino software and hardware,Hardware,2015
help with arduino software and hardware,Software,2015
running lc-ms on moss samples,Experiments,2015
general help,Other,2015
material sourcing,Material Supply,2015
help with extraction of plant material,Experiments,2015
offering expertise and experience in synthetic biology,Supervision,2015
guiding on the feasibility of the project,Supervision,2015
contributing ideas,Design,2015
helping to obtain materials,Material Supply,2015
supporting in obtaining sponsorships,Fundraising,2015
input and feedback on presentation,Creative Contributions,2015
input and feedback on presentation,Documentation,2015
troubleshooting lab problems,Experiments,2015
contributing to outreach,Public Engagement,2015
"providing lab space, equipment, and technical guidance",Material Supply,2015
"providing lab space, equipment, and technical guidance",Supervision,2015
help with outreach,Public Engagement,2015
input and feedback on promotional leaflets,Creative Contributions,2015
input and feedback on promotional leaflets,Documentation,2015
involving in university of york open days,Public Engagement,2015
involving in university of york outreach event,Public Engagement,2015
help with microscopy and flow cytometry,Experiments,2015
providing equipment and reagents,Material Supply,2015
providing imaging reagents,Material Supply,2015
helping develop nmr protocol,Experiments,2015
running nmr experiments,Experiments,2015
assistance with statistical analysis,Analysis,2015
teaching how to model constructs,Training,2015
advice in developing polyphosphate assay,Supervision,2015
producing team banner,Creative Contributions,2015
help in booking travel arrangements,Administration,2015
managing orders,Administration,2015
sending plasmids,Material Supply,2015
allowing use of venue,Material Supply,2015
allowing discussion on genetic engineering,Public Engagement,2015
discussion on ethics of gm,Human Practices,2015
allowing outreach workshop,Public Engagement,2015
allowing talk on ethics of genetic modification,Human Practices,2015
booking flights to giant jamboree,Administration,2015
responsible for the synthetic construct design,Design,2015
managed the dry lab research,Analysis,2015
planning the project,Design,2015
designing our parts,Parts,2015
designing our parts,Design,2015
ordering primers,Material Supply,2015
led the molecular biology team,Supervision,2015
worked on dry and wet lab aspects,Experiments,2015
worked on dry and wet lab aspects,Analysis,2015
participated in outreach activities,Public Engagement,2015
managing social media accounts,Public Engagement,2015
team collaborations,Collaboration,2015
worked in the molecular biology team,Experiments,2015
mini-prepping plasmids,Experiments,2015
nanodropping samples,Experiments,2015
running gels,Experiments,2015
uploading content to the wiki,Documentation,2015
designing the poster for the giant jamboree,Creative Contributions,2015
carrying out research and lab work,Design,2015
carrying out research and lab work,Experiments,2015
organising the travel to boston,Administration,2015
securing sponsorships,Fundraising,2015
maintaining supplies for the lab,Material Supply,2015
general budgeting,Administration,2015
involved with outreach and human practices,Public Engagement,2015
involved with outreach and human practices,Human Practices,2015
presented our project at the giant jamboree,Public Engagement,2015
specialised in the phosphate assay,Experiments,2015
specialised in the business plan,Entrepreneurship,2015
designed phosphate measurement experiments,Design,2015
designed phosphate measurement experiments,Experiments,2015
wrote our team's business plan,Entrepreneurship,2015
wrote our team's business plan,Documentation,2015
contacting national wastewater companies,Human Practices,2015
participated in dry lab research,Analysis,2015
guiding the phosphate and growth assay teams,Supervision,2015
scheduling plate reader experiments,Administration,2015
managing overnight cultures,Experiments,2015
analysing data for the project,Analysis,2015
worked on a model for our project,Modelling,2015
dry lab research,Analysis,2015
work with the growth assay team,Experiments,2015
designing our wiki template,Documentation,2015
wiki content formatting,Documentation,2015
worked on the modeling side,Modelling,2015
input for our presentation,Creative Contributions,2015
participated in outreach events,Public Engagement,2015
outreach and dry lab research,Public Engagement,2015
outreach and dry lab research,Analysis,2015
worked in the phosphate assay team,Experiments,2015
designed and distributed flyers,Public Engagement,2015
designed and distributed flyers,Creative Contributions,2015
held demonstrations of dna extraction experiments,Public Engagement,2015
held demonstrations of dna extraction experiments,Experiments,2015
went to discussions in york,Human Practices,2015
spent summer with the growth assay team,Experiments,2015
helped analyse the phosphate assay team's work,Analysis,2015
helped with coding on our wiki page,Software,2015
helped with coding on our wiki page,Documentation,2015
worked on the growth assay team,Experiments,2015
crucial to the animations in our presentation,Creative Contributions,2015
drawings on the registry of standard biological parts,Parts,2015
drawings on the registry of standard biological parts,Documentation,2015
helped keep social media followers updated,Public Engagement,2015
helped with dry lab research,Analysis,2015
imaging of phosphate,Experiments,2015
used confocal microscopy and dapi staining,Experiments,2015
extensive outreach work,Public Engagement,2015
working with the phosphate assay team,Experiments,2015
overseen most of the molecular biology experiments,Supervision,2015
overseen most of the molecular biology experiments,Experiments,2015
designed the synthetic gene constructs,Design,2015
designed the synthetic gene constructs,Parts,2015
worked on the growth assay,Experiments,2015
outreach program,Public Engagement,2015
becoming a master animator,Creative Contributions,2015
part of the social media team,Public Engagement,2015
working with the growth assay team,Experiments,2015
develop a functional test,Experiments,2015
extensive work on the wiki page,Documentation,2015
confocal microscopy imaging,Experiments,2015
fluorescence-based sensitive assays,Experiments,2015
working in the lab with the molecular biology team,Experiments,2015
maintains the social media accounts,Public Engagement,2015
organise various team events,Administration,2015
part of the wiki team,Documentation,2015
part of the molecular biology team,Experiments,2015
involved with outreach,Public Engagement,2015
organising the analysis of engineered e.coli,Analysis,2015
creating a phosphate and polyphosphate assay,Experiments,2015
writing the team’s business plan,Entrepreneurship,2015
working on the growth and phosphate assays,Experiments,2015
wiki work,Documentation,2015
outreach,Public Engagement,2015
worked on the phosphate assay,Experiments,2015
wiki page,Documentation,2015
co-ordinating and participating in outreach activities,Public Engagement,2015
getting the team funding,Fundraising,2015
recruiting new members,Administration,2015
liaising with members of staff,Administration,2015
helping troubleshoot lab problems,Experiments,2015
supervising,Supervision,2015
providing advice on various protocols,Supervision,2015
expression guide,Design,2016
expression guide,Experiments,2016
functional architecture,Design,2016
functional architecture,Modelling,2016
compatibility,Design,2016
compatibility,Modelling,2016
wet lab,Experiments,2016
phd candidate on open source with focus on synthetic biology,Software,2016
phd candidate on open source with focus on synthetic biology,Human Practices,2016
majoring in biochemistry,Experiments,2016
majoring in electrical engineering,Hardware,2016
completed an undergrad degree in bioengineering,Design,2016
completed an undergrad degree in bioengineering,Experiments,2016
grad in bioengineering,Design,2016
grad in bioengineering,Experiments,2016
p.i.,Supervision,2016
raised enough money to enter 4 boys and the pi to jamboree,Fundraising,2016
entered igem,Other,2016
attended numerous conferences,Public Engagement,2016
interned at cybio and labgenius,Training,2016
contributed to research,Experiments,2016
contributed to research,Analysis,2016
contributed to experimental design,Design,2016
created the wiki,Documentation,2016
provides intellectual heft,Supervision,2016
research,Experiments,2016
research,Analysis,2016
badgering potential sponsors and collaborators,Fundraising,2016
badgering potential sponsors and collaborators,Collaboration,2016
head of human practices,Human Practices,2016
written several articles and pamphlets,Documentation,2016
written several articles and pamphlets,Public Engagement,2016
carried out numerous experiments,Experiments,2016
searched for potential sponsors,Fundraising,2016
written articles on synthetic biology,Documentation,2016
written articles on synthetic biology,Public Engagement,2016
attaché to iGEM delegation,Collaboration,2016
carries out mini-prep isolation,Experiments,2016
carries out restriction digests,Experiments,2016
carries out ligation,Experiments,2016
carries out purification,Experiments,2016
created art for the wiki,Documentation,2016
created art for the wiki,Creative Contributions,2016
involved in experiments,Experiments,2016
researched various topics,Design,2016
helped out in the lab,Experiments,2016
carried out experiments,Experiments,2016
wrote biographies,Documentation,2016
worked on folding of primers,Experiments,2016
wrote an article,Documentation,2016
organizing the project,Administration,2016
coordinating the project,Administration,2016
taught synthetic biology,Training,2016
taught necessary microbiological techniques and ways of working in sterile environment,Training,2016
taught molecular biology techniques,Training,2016
discussed cloning strategies,Training,2016
discussed cloning strategies,Design,2016
taught experimental techniques used and safety procedures,Training,2016
taught experimental techniques used and safety procedures,Safety,2016
discussed methods specific to working with synechocystis pcc6803,Training,2016
checked through cloning strategies,Supervision,2016
checked through cloning strategies,Design,2016
helped with minipreps issue,Supervision,2016
helped with minipreps issue,Experiments,2016
worked on the wiki,Documentation,2016
guided the team through wiki development,Supervision,2016
guided the team through wiki development,Documentation,2016
created charcoal drawings for the wiki,Documentation,2016
created charcoal drawings for the wiki,Creative Contributions,2016
helped with copying and pasting of code on the wiki,Documentation,2016
helped with copying and pasting of code on the wiki,Software,2016
helped with printing the poster,Documentation,2016
helped with printing the poster,Creative Contributions,2016
responsible for researching human practices aspects,Human Practices,2016
made cryptogerm art,Creative Contributions,2016
made the logo,Creative Contributions,2016
teamwork icon,Creative Contributions,2016
connection icon,Creative Contributions,2016
software engineering icon,Creative Contributions,2016
software engineering icon,Software,2016
idea settings icon,Creative Contributions,2016
toolbox icon,Hardware,2016
toolbox icon,Software,2016
dna icon,Design,2016
dna icon,Experiments,2016
dna icon,Parts,2016
scissors icon,Experiments,2016
scissors icon,Parts,2016
petri icon,Experiments,2016
check mark icon,Documentation,2016
check mark icon,Analysis,2016
erlenmeyer flask icon,Experiments,2016
up icon,Entrepreneurship,2016
up icon,Public Engagement,2016
plus and minus icons,Modelling,2016
plus and minus icons,Analysis,2016
safety goggle icon,Safety,2016
lab coat icon,Experiments,2016
lab coat icon,Safety,2016
forbidden food icon,Creative Contributions,2016
hand washing icon,Creative Contributions,2016
checked icon,Creative Contributions,2016
editing videos,Creative Contributions,2016
igem giant jamboree photos,Creative Contributions,2016
modelling in cryptogerm,Modelling,2016
help with modelling,Modelling,2016
help with modelling,Supervision,2016
built software & wiki,Software,2016
built software & wiki,Documentation,2016
help with software & wiki,Software,2016
help with software & wiki,Documentation,2016
help with software & wiki,Supervision,2016
aes in javascript,Software,2016
crc16-ccitt in javascript,Software,2016
feedback on modelling,Supervision,2016
feedback on modelling,Modelling,2016
inspiration for modelling,Modelling,2016
managed human practices,Human Practices,2016
help with human practices,Human Practices,2016
cbrn safety and security advice,Safety,2016
comments on project development,Supervision,2016
facilities and interview for cryptogerm,Material Supply,2016
facilities and interview for cryptogerm,Human Practices,2016
orientation in gmo regulations,Safety,2016
orientation in gmo regulations,Human Practices,2016
feedback on survey,Supervision,2016
feedback on survey,Human Practices,2016
working in the lab,Experiments,2016
supplied spirofloxacin and chemical expertise,Material Supply,2016
feedback on lab work,Supervision,2016
help with lab equipment,Material Supply,2016
tips on bacillus subtilis and pdr111 plasmid,Training,2016
showed how the plate reader works,Training,2016
introduction to facs data analysis,Training,2016
introduction to facs data analysis,Analysis,2016
rescued spores from broken centrifuge,Experiments,2016
contributions to the project,Other,2016
moral support,Other,2016
supervised ilona's internship,Supervision,2016
spiritual support and inspiration,Other,2016
presentation coaching,Training,2016
keep the team happy and make sure there are always cookies around,Other,2016
in charge of our educational work and coordinating public relations,Public Engagement,2016
in charge of our educational work and coordinating public relations,Human Practices,2016
obtaining lab equipment and materials,Material Supply,2016
helping plan the labwork,Administration,2016
ensuring biological safety,Safety,2016
proofreading emails and writing assignments,Documentation,2016
contacting potential sponsors,Fundraising,2016
helping with the artwork,Creative Contributions,2016
centered around the wet lab,Experiments,2016
in charge of the travel to boston,Administration,2016
part of the human practices,Human Practices,2016
compute the mathematical models,Modelling,2016
convince companies and institutes to support our project,Fundraising,2016
make sure that everything in the lab is going smoothly and according to the plan,Safety,2016
make sure that everything in the lab is going smoothly and according to the plan,Administration,2016
made pretty much all of the drawn images on the wiki,Creative Contributions,2016
made pretty much all of the drawn images on the wiki,Documentation,2016
in charge of the design of the poster,Creative Contributions,2016
make notes during the meetings,Documentation,2016
lab rat in igem,Experiments,2016
doing some molecular dynamics and computational analysis,Modelling,2016
doing some molecular dynamics and computational analysis,Analysis,2016
treasurer of our team,Fundraising,2016
treasurer of our team,Administration,2016
help obtaining sponsors for our project,Fundraising,2016
data management and the wiki,Documentation,2016
data management and the wiki,Analysis,2016
responsible for the software part of our project,Software,2016
helped in collaboration with igem copenhagen by growing cyanobacteria and bacillus,Collaboration,2016
helped in collaboration with igem copenhagen by growing cyanobacteria and bacillus,Experiments,2016
thinking of new ideas for the experiment,Design,2016
helped in rna-sequencing analysis,Analysis,2016
counted on for lab equipment and other lab related issues,Material Supply,2016
able to obtain the right dechloromonas strain,Experiments,2016
instruction on and use of microscopy facilities,Training,2016
instruction on and use of microscopy facilities,Experiments,2016
"provided lab space, lab equipment and scientific advice",Material Supply,2016
"provided lab space, lab equipment and scientific advice",Supervision,2016
provided lab equipment and prepared media,Material Supply,2016
endorsements through video clips,Public Engagement,2016
made photo-comics to promote project,Creative Contributions,2016
made photo-comics to promote project,Public Engagement,2016
launch crowdfunding campaign,Fundraising,2016
made an animation for movie endings,Creative Contributions,2016
made an animation for movie endings,Public Engagement,2016
provided foundations of a network for industry contacts,Entrepreneurship,2016
provided contacts in the leiden bio science park,Collaboration,2016
provided contacts in the leiden bio science park,Entrepreneurship,2016
facilitated collaboration with airbus defence & space netherlands,Collaboration,2016
supported in pr strategies and provided contacts,Public Engagement,2016
facilitated contact with the european space agency,Collaboration,2016
aided in contact with local governmental organisations,Collaboration,2016
help in the creation of digital martian garden,Software,2016
provided website with photos,Documentation,2016
helped to spread the word about project,Public Engagement,2016
supplied colourful bacterial strains for bioart,Parts,2016
help in composing the twist bioscience blog,Documentation,2016
laboratory work,Experiments,2016
crowdfunding,Fundraising,2016
collaborations,Collaboration,2016
interlab study,Interlab,2016
outreach & media,Public Engagement,2016
finances,Administration,2016
bioreactor,Hardware,2016
lab safety manager,Safety,2016
statistics,Analysis,2016
posters & multimedia,Creative Contributions,2016
presentations,Public Engagement,2016
wiki building,Documentation,2016
wiki building,Software,2016
safety manager,Safety,2016
chief editor of our web page,Documentation,2016
administrator of the experiment part,Administration,2016
administrator of the experiment part,Experiments,2016
writing the description of the experiment,Documentation,2016
writing the description of the experiment,Experiments,2016
propagandize the issue of pesticides by establishing a website,Public Engagement,2016
propagandize the issue of pesticides by establishing a website,Documentation,2016
play an important role in our team,Other,2016
responsible for supervision and mentoring,Supervision,2016
responsible for mentoring and supervision,Supervision,2016
leader,Administration,2016
lab work,Experiments,2016
modeling,Modelling,2016
human practice,Human Practices,2016
design work,Design,2016
wiki,Documentation,2016
participated in nearly all parts of this project,Design,2016
participated in nearly all parts of this project,Experiments,2016
participated in nearly all parts of this project,Documentation,2016
participated in nearly all parts of this project,Modelling,2016
participated in nearly all parts of this project,Analysis,2016
participated in nearly all parts of this project,Parts,2016
participated in nearly all parts of this project,Safety,2016
participated in nearly all parts of this project,Entrepreneurship,2016
participated in nearly all parts of this project,Hardware,2016
participated in nearly all parts of this project,Software,2016
participated in nearly all parts of this project,Human Practices,2016
participated in nearly all parts of this project,Public Engagement,2016
participated in nearly all parts of this project,Collaboration,2016
participated in nearly all parts of this project,Fundraising,2016
participated in nearly all parts of this project,Creative Contributions,2016
participated in nearly all parts of this project,Administration,2016
participated in nearly all parts of this project,Material Supply,2016
participated in nearly all parts of this project,Supervision,2016
participated in nearly all parts of this project,Training,2016
mainly involved in lab work,Experiments,2016
responsible for lab work,Experiments,2016
responsible for modeling,Modelling,2016
responsible for human practices,Human Practices,2016
mainly responsible for lab work,Experiments,2016
mainly responsible for human practice,Human Practices,2016
mainly responsible for writing during wiki construction,Documentation,2016
responsible for the modelling part,Modelling,2016
participated in wiki construction,Documentation,2016
designed our cute logo,Creative Contributions,2016
responsible for arts,Creative Contributions,2016
did all the programming for wiki construction,Software,2016
did all the programming for wiki construction,Documentation,2016
did many lab work during the project,Experiments,2016
did lab work,Experiments,2016
did modelling,Modelling,2016
did wiki construction,Documentation,2016
mainly responsible for wiki construction,Documentation,2016
mainly responsible for human practices,Human Practices,2016
responsible for modelling,Modelling,2016
responsible for wiki construction,Documentation,2016
modeler and occasional statistician for the team,Modelling,2016
modeler and occasional statistician for the team,Analysis,2016
oversaw all subprojects,Supervision,2016
responsible for reading literature for the biological aspects of the riot model,Design,2016
responsible for reading literature for the biological aspects of the riot model,Analysis,2016
helped with experiments for the riot invader,Experiments,2016
in charge of collecting microplate reader data for the riot responder and the riot invader,Experiments,2016
in charge of crafting and running the riot model,Modelling,2016
main corresponder for our modelling collaborations,Collaboration,2016
main corresponder for our modelling collaborations,Modelling,2016
worked on the riot sensor,Experiments,2016
worked on the riot sensor,Hardware,2016
in charge of the coding of our wiki,Documentation,2016
in charge of the coding of our wiki,Software,2016
part of the team that sourced for sponsors,Fundraising,2016
in charge of analysing data from our survey for our business plan,Analysis,2016
in charge of analysing data from our survey for our business plan,Entrepreneurship,2016
worked on the riot responder,Experiments,2016
part of the administrative team,Administration,2016
responsible for communicating our business plan to others,Entrepreneurship,2016
responsible for communicating our business plan to others,Public Engagement,2016
worked on the riot invader,Other,2016
in charge of the design of our wiki and team t-shirt design,Documentation,2016
in charge of the design of our wiki and team t-shirt design,Creative Contributions,2016
met every tuesday and brainstormed about the project,Design,2016
did literature research,Design,2016
discussed the project in meetings,Design,2016
decided to carry out the project,Design,2016
participated in the kickoff event,Public Engagement,2016
