Activity,Matching,year
sponsorship manager,Fundraising,2016
convincing companies and institutes,Entrepreneurship,2016
climbing rocks,Other,2016
cooking dinner with friends,Other,2016
making sure everything in the lab is going smoothly,Administration,2016
movies lover,Other,2016
sports lover,Other,2016
reading books,Other,2016
hanging out with friends,Other,2016
vice-chair of cryptogerm,Other,2016
drawing images on the wiki,Documentation,2016
design of the poster,Creative Contributions,2016
"bachelor degrees in medicine, mathematics and physics",Other,2016
masters in theoretical physics and operations research,Other,2016
being outside,Other,2016
studying on the grass,Other,2016
hanging out of a window,Other,2016
playing beach volleyball,Other,2016
dancing,Other,2016
tricking random birds and forest animals,Other,2016
secretary of igem team,Administration,2016
making notes during meetings,Administration,2016
watching cute animal videos,Other,2016
reading,Other,2016
bachelor in pharmaceutical engineering,Other,2016
master in molecular biology and biotechnology,Other,2016
lab rat,Experiments,2016
molecular dynamics,Modelling,2016
computational analysis,Analysis,2016
liking molecules,Other,2016
playing video games,Other,2016
treasurer of the team,Administration,2016
obtaining sponsors,Fundraising,2016
bachelor’s degree in applied physics,Other,2016
master applied physics,Other,2016
taking bike out for a spin,Other,2016
bbq lover,Other,2016
code-monkey,Software,2016
major in computing science,Other,2016
data management,Analysis,2016
wiki,Documentation,2016
software part of the project,Software,2016
programming,Software,2016
growing cyanobacteria and bacillus,Experiments,2016
rna-sequencing analysis,Analysis,2016
lab equipment and other lab related issues,Administration,2016
obtain the right dechloromonas strain,Material Supply,2016
instruction on and use of microscopy facilities,Training,2016
"lab space, lab equipment, scientific advice",Supervision,2016
lab equipment and prepared media,Material Supply,2016
endorsements through video clips,Public Engagement,2016
made photo-comics to promote our project,Creative Contributions,2016
helped launch crowdfunding campaign,Fundraising,2016
made an animation of the rocket with our igem logo,Creative Contributions,2016
provided foundations of a huge network for contacts,Collaboration,2016
provided contacts in the leiden bio science park,Collaboration,2016
facilitated collaboration with airbus defence & space netherlands,Collaboration,2016
supported in pr strategies and provided contacts in space-related organisations,Collaboration,2016
facilitated contact with the european space agency,Collaboration,2016
aided in contact with local governmental organisations,Collaboration,2016
helped in creation of digital martian garden,Creative Contributions,2016
provided beautiful photos for website,Creative Contributions,2016
helped spread the word about our project,Public Engagement,2016
supplied colourful bacterial strains for bioart,Material Supply,2016
helped compose the twist bioscience blog,Public Engagement,2016
financially backed the project,Fundraising,2016
provided random positioning machine,Hardware,2016
performed rna-sequencing,Experiments,2016
synthesised all dna,Experiments,2016
provided bioinformatics student for rna-sequence analysis,Analysis,2016
provided disposable materials,Material Supply,2016
delivered materials and chemicals,Material Supply,2016
gave free licenses for software,Material Supply,2016
"offered simulant martian soil, equipment and expert knowledge",Material Supply,2016
provided chemicals for project,Material Supply,2016
gave free lab materials,Material Supply,2016
"principal investigator, provided guidance and expert knowledge",Supervision,2016
"secondary pi, provided guidance",Supervision,2016
"advisor, provided help throughout the summer",Supervision,2016
participated in laboratory work,Experiments,2016
"participated in laboratory work, crowdfunding, collaborations, lab safety",Experiments,2016
"participated in laboratory work, crowdfunding, collaborations, posters & multimedia, presentations",Experiments,2016
"participated in laboratory work, collaborations, interlab study, bioreactor",Experiments,2016
"participated in laboratory work, collaborations, interlab study, bioreactor",Collaboration,2016
"participated in laboratory work, crowdfunding, wiki building",Experiments,2016
"participated in laboratory work, crowdfunding, wiki building",Fundraising,2016
"participated in laboratory work, statistics, presentations",Experiments,2016
"participated in laboratory work, statistics, presentations",Analysis,2016
"participated in laboratory work, crowdfunding, collaborations, wiki building",Experiments,2016
"participated in laboratory work, crowdfunding, collaborations, wiki building",Collaboration,2016
"participated in laboratory work, crowdfunding, presentations, wiki building",Experiments,2016
"participated in laboratory work, crowdfunding, presentations, wiki building",Fundraising,2016
participated in finances,Fundraising,2016
"participated in outreach & media, bioreactor",Public Engagement,2016
"participated in outreach & media, bioreactor",Experiments,2016
"participated in finances, wiki building",Fundraising,2016
"participated in finances, wiki building",Documentation,2016
participated in statistics,Analysis,2016
participated in posters & multimedia,Creative Contributions,2016
participated in presentations,Public Engagement,2016
participated in wiki building,Documentation,2016
safety manager,Safety,2016
principal investigator,Supervision,2016
participating in biology competition,Collaboration,2016
enjoy cooperating with others to decode the secret of bio-engineering,Collaboration,2016
chief editor of web page,Documentation,2016
master of business administration,Entrepreneurship,2016
bachelor of english education and international trade,Other,2016
excel in publication,Other,2016
administrator of the experiment part,Administration,2016
writing the description of the experiment,Documentation,2016
devote to propagandize the harm of pesticides,Human Practices,2016
funding support,Fundraising,2016
host lab,Material Supply,2016
instructor,Training,2016
advisor,Supervision,2016
human practice,Human Practices,2016
modeling,Modelling,2016
wiki,Documentation,2016
team leader,Administration,2016
involved in lab work,Experiments,2016
"responsible for lab work, modeling, and human practices",Experiments,2016
"responsible for lab work, modeling, and human practices",Modelling,2016
"responsible for lab work, modeling, and human practices",Human Practices,2016
"responsible for lab work, human practice, and writing during wiki construction",Experiments,2016
"responsible for lab work, human practice, and writing during wiki construction",Human Practices,2016
"responsible for lab work, human practice, and writing during wiki construction",Documentation,2016
responsible for modeling and design work,Modelling,2016
responsible for modeling and design work,Design,2016
responsible for art designing issues,Creative Contributions,2016
did all the programming for wiki construction,Software,2016
did lab work,Experiments,2016
"did lab work, modeling, and wiki construction",Experiments,2016
"did lab work, modeling, and wiki construction",Modelling,2016
"did lab work, modeling, and wiki construction",Documentation,2016
responsible for wiki construction,Documentation,2016
responsible for human practices,Human Practices,2016
primary instructor,Training,2016
responsible for art design,Creative Contributions,2016
did programming for wiki construction,Software,2016
collaborated with three igem teams and helped establish two new undergraduate igem teams,Collaboration,2016
interested in human diseases and their potential treatments,Other,2016
interested in learning how microbes can cause human diseases and how we can manipulate them for therapeutic purposes,Other,2016
modeler and occasional statistician for the team,Modelling,2016
final year pharmacy student,Other,2016
fresh graduate student working on asymmetric cell division mechanism,Other,2016
interested in synthetic biology,Other,2016
interested in various scientific methods and genetic engineering,Other,2016
fascinated by synthetic biology and the world of microbes,Other,2016
"interested in synthetic biology, microbiology, and proteomics",Other,2016
interested in therapeutics and making friends with like-minded peers,Other,2016
interested in the interface of science and business,Other,2016
"research assistant in a/p gan yunn hwen’s lab at the department of biochemistry, nus",Other,2016
"professor of microbiology at the university of illinois-chicago and a principal investigator at the mechanobiology institute, nus",Supervision,2016
"senior research fellow at mbi, nus",Supervision,2016
program leader of the nus synthetic biology for clinical and technological innovation (syncti),Other,2016
scientific program manager for nus syncti,Administration,2016
"director of special programme in science at nus and an associate professor at the department of biological sciences, nus",Supervision,2016
"lecturer with the faculty of science and the special programme in science, as well as the department of biological science at national university of singapore (nus)",Supervision,2016
"instructor of the physics department and the assistant director of the special programme in science, nus",Supervision,2016
oversaw all subprojects carried out,Supervision,2016
reading literature for the biological aspects of the riot model,Design,2016
helped with experiments for the riot invader,Experiments,2016
collecting microplate reader data for the riot responder and the riot invader,Experiments,2016
crafting and running the riot model,Modelling,2016
main corresponder for our modelling collaborations,Collaboration,2016
