"context","target_processed","year","team_processed","team","target","source_team","batch_id","chunk_id","id","team_matched","target_matched","category"
"affiliated with","school of bioscience & bioengineering of scut",2015,"scut champion park","Scut-Champion-Park","School of Bioscience & Bioengineering of SCUT","Scut-Champion-Park",50,2,"50-2","Scut-Champion-Park","SCUT","other"
"affiliated with","scut champion park",2015,"south china university of technology","South China University of Technology","Scut-Champion-Park","Scut-Champion-Park",259,11,"259-11","SCUT-China","Scut-Champion-Park","other"
"affiliated with","school of design of scut",2015,"scut champion park","Scut-Champion-Park","School of Design of SCUT","Scut-Champion-Park",50,2,"50-2","Scut-Champion-Park","SCUT","other"
"affiliated with","tecnológico de monterrey (campus ciudad de méxico)",2015,"genetix tec ccm","GenetiX_Tec_CCM","Tecnológico de Monterrey (Campus Ciudad de México)","GenetiX_Tec_CCM",41,12,"41-12","GenetiX_Tec_CCM","Tec-Monterrey","other"
"affiliated with","laboratory of prof. lingyi chen",2015,"nankai","Nankai","Laboratory of Prof. Lingyi Chen","Nankai",564,11,"564-11","Nankai","BIT-China","other"
"affiliated with","laboratory of prof. shufang wang",2015,"nankai","Nankai","Laboratory of Prof. Shufang Wang","Nankai",564,11,"564-11","Nankai","BIT-China","other"
"affiliated with","laboratory of prof. mingqiang qiao",2015,"nankai","Nankai","Laboratory of Prof. Mingqiang Qiao","Nankai",564,11,"564-11","Nankai","BIT-China","other"
"affiliated with","school of light industry and food science of scut",2015,"scut champion park","Scut-Champion-Park","School of Light Industry and Food Science of SCUT","Scut-Champion-Park",50,2,"50-2","Scut-Champion-Park","SCUT","other"
"affiliated with","school of design of scut",2015,"scut champion park","Scut-Champion-Park","School of Design of SCUT","Scut-Champion-Park",50,2,"50-2","SCUT-China","SCUT","other"
"affiliated with","washington university",2015,"penn state","Penn State","Washington University","WashU_StLouis",635,1,"635-1","Penn","Washington","other"
"affiliated with","university of london",2015,"birkbeck","Birkbeck","University of London","Birkbeck",391,6,"391-6","Birkbeck","London_Biohackspace","other"
"affiliated with","graduate school of scut",2015,"scut champion park","Scut-Champion-Park","Graduate School of SCUT","Scut-Champion-Park",50,2,"50-2","Scut-Champion-Park","SCUT","other"
"affiliated with","students innovation and entrepreneurship practice base of scut",2015,"scut champion park","Scut-Champion-Park","Students Innovation and Entrepreneurship Practice Base of SCUT","Scut-Champion-Park",50,2,"50-2","SCUT-China","SCUT","other"
"affiliated with","ustc software",2015,"nudt china","NUDT_CHINA","USTC-software","NUDT_CHINA",739,11,"739-11","NUDT_CHINA","USTC-Software","other"
"affiliated with","shanghai jiao tong university",2015,"sjtu biox shanghai","SJTU-BioX-Shanghai","Shanghai Jiao Tong University","SJTU-BioX-Shanghai",1033,6,"1033-6","SJTU-BioX-Shanghai","SJTU-Software","other"
"affiliated with","school of light industry and food science of scut",2015,"scut champion park","Scut-Champion-Park","School of Light Industry and Food Science of SCUT","Scut-Champion-Park",50,2,"50-2","SCUT-China","SCUT","other"
"affiliated with","university of london",2015,"birkbeck","Birkbeck","University of London","Birkbeck",932,5,"932-5","Birkbeck","London_Biohackspace","other"
"afraid of the same issues","stockholm had run into",2015,"aalto helsinki","Aalto-Helsinki","Stockholm had run into","Stockholm",688,4,"688-4","Aalto-Helsinki","Stockholm","advice"
"agreed to characterize a part of","eth zurich",2015,"stockholm","Stockholm","ETH_Zurich","ETH_Zurich",753,5,"753-5","Stockholm","ETH_Zurich","work"
"aid with collection of survey results","czech republic",2015,"chalmers gothenburg","Chalmers-Gothenburg","Czech Republic","Chalmers-Gothenburg",194,1,"194-1","Chalmers-Gothenburg","Czech_Republic",NA
"aided","stockholm team",2015,"ufscar brasil","UFSCar-Brasil","Stockholm Team","UFSCar-Brasil",430,10,"430-10","UFSCar-Brasil","Stockholm","work"
"aided","iiser igem team",2015,"ufscar brasil","UFSCar-Brasil","IISER iGEM Team","UFSCar-Brasil",430,10,"430-10","UFSCar-Brasil","IISER_Pune","work"
"aim to complete music video with","macquaire australia",2015,"linkoping sweden","Linkoping Sweden","Macquaire Australia","Linkoping_Sweden",936,0,"936-0","Linkoping_Sweden","Macquarie_Australia","work"
"analyzed","ntu singapore",2015,"scut china","SCUT-China","NTU-Singapore","SCUT-China",689,7,"689-7","SCUT-China","NTU-Singapore","work"
"analyzed","queens",2015,"scut china","SCUT-China","Queens","SCUT-China",689,7,"689-7","SCUT-China","Queens_Canada","work"
"analyzed design for","whu china team",2015,"hzau china","HZAU-China","WHU-China team","HZAU-China",425,8,"425-8","HZAU-China","WHU-China","work"
"analyzed design for","whu china team",2015,"hzau china","HZAU-China","WHU-China team","HZAU-China",1006,5,"1006-5","HZAU-China","WHU-China","work"
"analyzed fringes for","2015 ustc team",2015,"ustc software","USTC-Software","2015 USTC team","USTC-Software",779,2,"779-2","USTC-Software","USTC","work"
"analyzed projects","ntu singapore",2015,"scut","SCUT","NTU-Singapore","SCUT",525,10,"525-10","SCUT","NTU-Singapore","work"
"analyzed projects","queens",2015,"scut","SCUT","Queens","SCUT",525,10,"525-10","SCUT","Queens_Canada","work"
"analyzed the design of","whu china",2015,"hzau china","HZAU-China","WHU-China","HZAU-China",838,1,"838-1","HZAU-China","WHU-China",NA
"analyzed the design of","whu china",2015,"hzau china","HZAU-China","WHU-China","HZAU-China",805,0,"805-0","HZAU-China","WHU-China",NA
"answered questionnaire","nankai",2015,"valencia upv","Valencia_UPV","Nankai","Valencia_UPV",466,1,"466-1","Valencia_UPV","Nankai","other"
"answered questionnaires for","aalto helsinki",2015,"hokkaidou japan","HokkaidoU_Japan","Aalto-Helsinki","HokkaidoU_Japan",540,2,"540-2","HokkaidoU_Japan","Aalto-Helsinki","work"
"answered questions and advised iGEM Paris Pasteur","igem paris pasteur",2015,"paris saclay","Paris_Saclay","iGEM Paris Pasteur","Paris_Saclay",573,6,"573-6","Paris_Saclay","Pasteur_Paris","advice"
"answered survey","paris saclay team",2015,"tu dresden","TU Dresden","Paris Saclay Team","TU_Dresden",744,7,"744-7","TU_Dresden","Paris_Saclay","other"
"answered survey","aix marseille",2015,"ufmg brazil","UFMG Brazil","Aix-Marseille","UFMG_Brazil",281,2,"281-2","UFMG_Brazil","Aix-Marseille","other"
"answered survey by","paris saclay",2015,"dundee","Dundee","Paris-Saclay","Dundee",422,10,"422-10","Dundee","Paris_Saclay","other"
"answered survey by","paris saclay team",2015,"tu dresden","TU Dresden","Paris Saclay Team","TU_Dresden",237,12,"237-12","TU_Dresden","Paris_Saclay","other"
"answered survey by","paris saclay",2015,"valencia upv","Valencia_UPV","Paris-Saclay","Valencia_UPV",872,3,"872-3","Valencia_UPV","Paris_Saclay","other"
"answered survey for","igem pasteur team",2015,"paris saclay","Paris_Saclay","iGEM Pasteur team","Paris_Saclay",1038,4,"1038-4","Paris_Saclay","Pasteur_Paris","other"
"answered survey for","paris pasteur",2015,"bordeaux","Bordeaux","Paris Pasteur","Bordeaux",331,10,"331-10","Bordeaux","Pasteur_Paris","other"
"answered survey for","paris saclay",2015,"bordeaux","Bordeaux","Paris-Saclay","Bordeaux",403,4,"403-4","Bordeaux","Paris_Saclay","other"
"answered survey for Paris Pasteur's project","paris pasteur",2015,"bordeaux","Bordeaux","Paris Pasteur","Bordeaux",973,3,"973-3","Bordeaux","Pasteur_Paris","other"
"answered survey from","chalmers gothenburg",2015,"czech republic","Czech Republic","Chalmers-Gothenburg","Chalmers-Gothenburg",496,7,"496-7","Czech_Republic","Chalmers-Gothenburg","work"
"answered surveys for","ui indonesian",2015,"bordeaux","Bordeaux","UI-Indonesian","Bordeaux",403,4,"403-4","Bordeaux","UI_Indonesia","other"
"answered surveys for","oxford university",2015,"macquarie australia","Macquarie Australia","Oxford University","Macquarie_Australia",929,9,"929-9","Macquarie_Australia","Oxford","other"
"answered surveys for","tec monterry",2015,"bordeaux","Bordeaux","TEC-Monterry","Bordeaux",403,4,"403-4","Bordeaux","Tec-Monterrey","other"
"answered surveys for","ucl",2015,"bordeaux","Bordeaux","UCL","Bordeaux",403,4,"403-4","Bordeaux","UCL","other"
"answered/forwarded questionnaire for","uppsala",2015,"aalto helsinki","Aalto-Helsinki","Uppsala","Aalto-Helsinki",737,5,"737-5","Aalto-Helsinki","Uppsala","other"
"answered/forwarded questionnaire for","iit kharagpur",2015,"aalto helsinki","Aalto-Helsinki","IIT Kharagpur","Aalto-Helsinki",737,5,"737-5","Aalto-Helsinki","IIT_Kharagpur","other"
"answered/forwarded questionnaire for","stockholm",2015,"aalto helsinki","Aalto-Helsinki","Stockholm","Aalto-Helsinki",737,5,"737-5","Aalto-Helsinki","Stockholm","other"
"answered/forwarded questionnaire for","nefu china",2015,"aalto helsinki","Aalto-Helsinki","NEFU China","Aalto-Helsinki",737,5,"737-5","Aalto-Helsinki","NEFU_China","other"
"answered/forwarded questionnaire for","nefu china",2015,"aalto helsinki","Aalto-Helsinki","NEFU China","Aalto-Helsinki",737,5,"737-5","Aalto-Helsinki","NEFU-China","other"
"answered/forwarded questionnaire for","tec monterrey",2015,"aalto helsinki","Aalto-Helsinki","Tec-Monterrey","Aalto-Helsinki",737,5,"737-5","Aalto-Helsinki","Tec-Monterrey","other"
"answered/forwarded questionnaire for","ui indonesia",2015,"aalto helsinki","Aalto-Helsinki","UI Indonesia","Aalto-Helsinki",737,5,"737-5","Aalto-Helsinki","UI_Indonesia","other"
"answered/forwarded questionnaire for","aachen",2015,"aalto helsinki","Aalto-Helsinki","Aachen","Aalto-Helsinki",737,5,"737-5","Aalto-Helsinki","Aachen","other"
"answered/forwarded questionnaire for","leicester",2015,"aalto helsinki","Aalto-Helsinki","Leicester","Aalto-Helsinki",737,5,"737-5","Aalto-Helsinki","Leicester","other"
"answered/forwarded questionnaire for","kent",2015,"aalto helsinki","Aalto-Helsinki","Kent","Aalto-Helsinki",737,5,"737-5","Aalto-Helsinki","Kent","other"
"answered/forwarded questionnaire for","korea u seoul",2015,"aalto helsinki","Aalto-Helsinki","Korea U Seoul","Aalto-Helsinki",737,5,"737-5","Aalto-Helsinki","Korea_U_Seoul","other"
"answered/forwarded questionnaire for","technion",2015,"aalto helsinki","Aalto-Helsinki","Technion","Aalto-Helsinki",737,5,"737-5","Aalto-Helsinki","Technion_Israel","other"
"answered/forwarded questionnaire for","nankai",2015,"aalto helsinki","Aalto-Helsinki","Nankai","Aalto-Helsinki",737,5,"737-5","Aalto-Helsinki","Nankai","other"
"answered/forwarded questionnaire for","york",2015,"aalto helsinki","Aalto-Helsinki","York","Aalto-Helsinki",737,5,"737-5","Aalto-Helsinki","York","other"
"applauded","vanderbilt university igem team",2015,"paris bettencourt","Paris_Bettencourt","Vanderbilt University iGEM team","Paris_Bettencourt",420,4,"420-4","Paris_Bettencourt","Vanderbilt","other"
"arranged and hosted","uppsala igem team",2015,"sdu denmark","SDU-Denmark","Uppsala iGEM team","SDU-Denmark",126,2,"126-2","SDU-Denmark","Uppsala","work"
"arranged and hosted","uppsala igem team",2015,"sdu denmark","SDU-Denmark","Uppsala iGEM team","SDU-Denmark",928,4,"928-4","SDU-Denmark","Uppsala","work"
"arranged and hosted","uppsala igem team",2015,"sdu denmark","SDU-Denmark","Uppsala iGEM team","SDU-Denmark",670,1,"670-1","SDU-Denmark","Uppsala","work"
"arranged and hosted","stockholm igem team",2015,"uppsala","Uppsala","Stockholm iGEM team","Uppsala",47,7,"47-7","Uppsala","Stockholm","work"
"arranged by","dtu igem team",2015,"sdu denmark","SDU-Denmark","DTU iGEM team","SDU-Denmark",126,2,"126-2","SDU-Denmark","DTU-Denmark","work"
"arranged workshop","dtu igem team",2015,"sdu denmark","SDU-Denmark","DTU iGEM team","SDU-Denmark",670,1,"670-1","SDU-Denmark","DTU-Denmark","work"
"arranged workshop","dtu igem team",2015,"sdu denmark","SDU-Denmark","DTU iGEM team","SDU-Denmark",928,4,"928-4","SDU-Denmark","DTU-Denmark","work"
"article published by","amoy",2015,"exeter","Exeter","Amoy","Exeter",980,0,"980-0","Exeter","Amoy","other"
"asked for advice from","igem paris bettencourt team",2015,"nait edmonton","NAIT_Edmonton","iGEM Paris Bettencourt team","NAIT_Edmonton",637,4,"637-4","NAIT_Edmonton","Paris_Bettencourt","advice"
"asked for device from","nymu taipei",2015,"tas taipei","TAS_Taipei","NYMU-Taipei","TAS_Taipei",297,6,"297-6","TAS_Taipei","NYMU-Taipei","material transfer"
"asked for help from","virginia",2015,"vanderbilt","Vanderbilt","Virginia","Virginia",723,0,"723-0","Vanderbilt","Virginia","advice"
"asked public and academics to answer survey from","chalmers gothenburg",2015,"czech republic","Czech Republic","Chalmers-Gothenburg","Chalmers-Gothenburg",496,7,"496-7","Czech_Republic","Chalmers-Gothenburg","work"
"asked questions about creating wiki from","aalto helsinki",2015,"slovenia hs","Slovenia_HS","Aalto-Helsinki","Slovenia_HS",165,11,"165-11","Slovenia_HS","Aalto-Helsinki","advice"
"asked questions about creating wiki from","aalto helsinki",2015,"slovenia hs","Slovenia_HS","Aalto-Helsinki","Slovenia_HS",863,2,"863-2","Slovenia_HS","Aalto-Helsinki","advice"
"asked questions about creating wiki to","aalto helsinki",2015,"slovenia hs","Slovenia_HS","Aalto-Helsinki","Slovenia_HS",768,2,"768-2","Slovenia_HS","Aalto-Helsinki","advice"
"asked questions to","igem minnesota",2015,"cairo egypt","Cairo Egypt","iGEM Minnesota","Cairo_Egypt",187,0,"187-0","Cairo_Egypt","Minnesota","advice"
"assembled with","ufmg brazil",2015,"ufscar brasil","UFSCar-Brasil","UFMG-Brazil","UFSCar-Brasil",628,0,"628-0","UFSCar-Brasil","UFMG_Brazil","work"
"assembled with","brasil usp",2015,"ufscar brasil","UFSCar-Brasil","Brasil-USP","UFSCar-Brasil",628,0,"628-0","UFSCar-Brasil","Brasil-USP","work"
"assistance from","czech republic",2015,"chalmers gothenburg","Chalmers-Gothenburg","Czech Republic","Chalmers-Gothenburg",194,1,"194-1","Chalmers-Gothenburg","Czech_Republic","advice"
"assisted","hzau china",2015,"hust china","HUST-China","HZAU-China","HUST-China",193,6,"193-6","HUST-China","HZAU-China","work"
"assisted","nudt china",2015,"nefu china","NEFU_China","NUDT_China","NEFU_China",881,8,"881-8","NEFU-China","NUDT_CHINA","work"
"assisted","shenzhen sfls",2015,"szms 15 shenzhen","SZMS_15_Shenzhen","Shenzhen_SFLS","Shenzhen_SFLS",559,11,"559-11","SZMS_15_Shenzhen","Shenzhen_SFLS","work"
"assisted","bit china",2015,"bnu china","BNU-CHINA","BIT-China","BNU-CHINA",832,0,"832-0","BNU-CHINA","BIT-China","work"
"assisted","university of new south wales",2015,"macquarie australia","Macquarie Australia","University of New South Wales","Macquarie_Australia",929,9,"929-9","Macquarie_Australia","BABS_UNSW_Australia","work"
"assisted","team warwick",2015,"ntnu trondheim","NTNU Trondheim","Team Warwick","NTNU_Trondheim",988,9,"988-9","NTNU_Trondheim","Warwick","work"
"assisted","lzu china",2015,"tju","TJU","LZU-China","TJU",993,11,"993-11","TJU","LZU-China","work"
"assisted","igem bordeaux",2015,"oxford","Oxford","iGEM Bordeaux","Oxford",361,7,"361-7","Oxford","Bordeaux","work"
"assisted","hsnu taipei",2015,"nctu formosa","NCTU_Formosa","HSNU-TAIPEI","NCTU_Formosa",913,3,"913-3","NCTU_Formosa","HSNU-TAIPEI","work"
"assisted","waterloo igem",2015,"uottawa","uOttawa","Waterloo iGEM","uOttawa",411,5,"411-5","uOttawa","Waterloo","work"
"assisted","nudt china",2015,"nefu china","NEFU_China","NUDT_China","NEFU_China",881,8,"881-8","NEFU_China","NUDT_CHINA","work"
"assisted","whu china",2015,"hust china","HUST-China","WHU-China","HUST-China",193,6,"193-6","HUST-China","WHU-China","work"
"assisted","chennai team",2015,"uppsala","Uppsala","Chennai team","Uppsala",47,7,"47-7","Uppsala","SVCE_Chennai","work"
"assisted","university of colorado boulder",2015,"macquarie australia","Macquarie Australia","University of Colorado Boulder","Macquarie_Australia",929,9,"929-9","Macquarie_Australia","CU_Boulder","work"
"assisted by","national taiwan normal university",2015,"hsnu taipei","HSNU-TAIPEI","National Taiwan Normal University","HSNU-TAIPEI",850,5,"850-5","HSNU-TAIPEI","NTNU_Trondheim","work"
"assisted by","tecmonterrey",2015,"biosint mexico","BIOSINT_Mexico","TecMonterrey","BIOSINT_Mexico",812,11,"812-11","BIOSINT_Mexico","Tec-Monterrey","work"
"assisted by","william and mary",2015,"university of cambridge","University of Cambridge","William and Mary","William_and_Mary",739,9,"739-9","Cambridge-JIC","William_and_Mary","work"
"assisted by","taipei medical university",2015,"hsnu taipei","HSNU-TAIPEI","Taipei Medical University","HSNU-TAIPEI",850,5,"850-5","HSNU-TAIPEI","TMU-Taipei","work"
"assisted in modeling for","hfut china",2015,"ouc china","OUC-China","HFUT_CHINA","OUC-China",678,1,"678-1","OUC-China","HFUT-China","work"
"assisted in survey of","aix marseille",2015,"ouc china","OUC-China","Aix-Marseille","OUC-China",678,1,"678-1","OUC-China","Aix-Marseille","work"
"assisted with","team heidelberg 2014",2015,"queens canada","Queens_Canada","Team Heidelberg 2014","Queens_Canada",218,1,"218-1","Queens_Canada","Heidelberg","work"
"attempted cloning with","cebitec bielefeld parts",2015,"dundee","Dundee","CeBiTec Bielefeld parts","Dundee",298,11,"298-11","Dundee","Bielefeld-CeBiTec","work"
"attempted to repeat experiment with","heidelberg",2015,"dtu denmark","DTU-Denmark","Heidelberg","DTU-Denmark",915,10,"915-10","DTU-Denmark","Heidelberg","work"
"attended","asian igem conference hosted by nctu",2015,"cgu taiwan","CGU_Taiwan","Asian iGEM conference hosted by NCTU","CGU_Taiwan",944,7,"944-7","CGU_Taiwan","NCTU_Formosa","meetup"
"attended","london biohackers",2015,"kent","Kent","London Biohackers","Kent",481,6,"481-6","Kent","London_Biohackspace","meetup"
"attended","asian conference in the national chiao tung university",2015,"zju china","ZJU-China","Asian Conference in the National Chiao Tung University","ZJU-China",855,0,"855-0","ZJU-China","NCTU_Formosa","meetup"
"attended","lab work workshop at the university of lethbridge",2015,"ols canmore ab ca","OLS_Canmore_AB_CA","Lab work workshop at the University of Lethbridge","OLS_Canmore_AB_CA",930,8,"930-8","OLS_Canmore_AB_CA","Lethbridge","meetup"
"attended","university of westminster",2015,"kent","Kent","University of Westminster","Kent",481,6,"481-6","Kent","Westminster","meetup"
"attended","birkbeck university",2015,"london biohackspace","London Biohackspace","Birkbeck University","London_Biohackspace",1037,8,"1037-8","London_Biohackspace","Birkbeck","meetup"
"attended","bu/mit meet up",2015,"wellesley thetech","Wellesley_TheTech","BU/MIT meet up","Wellesley_TheTech",203,4,"203-4","Wellesley_TheTech","BostonU","meetup"
"attended","university of la verne",2015,"ucla","UCLA","University of La Verne","UCL",799,2,"799-2","UCLA","LaVerne-Leos","meetup"
"attended","ucl",2015,"kent","Kent","UCL","Kent",481,6,"481-6","Kent","UCL","meetup"
