context,category
organized event attended by,meetup
received funding advice from,advice
received lecture from,work
volunteered at,work
sought advice from,advice
compared designs with,work
shared experience with,meetup
helped validate,work
modeled pathway for,work
hosted,work
produces immobilized bacteria,material transfer
changed plan,work
employed peristaltic pump,work
employed microporous filter,work
applied bacterial immobilizing technique,work
applied LED and photoresistor,work
designed control system,work
used Bluetooth module,work
provided cloning expertise to,advice
filled out survey for,other
answered questions for,other
provided summary for,other
measured growth curve of,work
tested function of,work
presented to,work
provided biobricks to,material transfer
offered biobricks to,material transfer
establishment of program,other
gave tips to use,advice
provided preview of model handbook,other
helped with modeling,work
provided document about French regulation,material transfer
helped build interactive map,work
spread surveys for,work
organized skype with winemaker,meetup
met,meetup
completed survey for,other
collaborated with,work
mentored,advice
collaborated,work
exchanged ideas with,work
cooperated with,work
communicated with,work
collaborated on manifesto with,work
collaborated on project with,work
contributed knowledge to,work
participated in,work
cooperated on experiment,work
cooperated on improve,work
cooperated on handbook,work
cooperated on measure experiment,work
cooperated on determine experiment,work
cooperated on demonstrate,work
met up with,meetup
assisted,work
helped,work
introduced,meetup
worked with,work
hosted meetup with,meetup
interacted with,other
advised,advice
chatted with,other
connected with,other
offered help and advice to,advice
translated videos for,other
project showcased by,meetup
shared outcomes,work
integrate bacteria from,material transfer
contacted,other
visited,meetup
shared ideas,work
appreciate advice from,advice
wishes best to,other
gave suggestions to,advice
received advice from,advice
collaboration with,work
mentoring cooperation with,work
mentored by,advice
participated in iGEM Day organized by,meetup
kept in touch with,other
had fun in,other
had skype calls with,other
worked alongside,work
wished success to,other
shared protocols and tips with,material transfer
exchanged knowledge with,work
validated ElectroPen with,work
attended conference at,meetup
met over 20 teams from,meetup
received feedback from,advice
contacted by,other
shared SEM imaging protocol with,material transfer
visited by,other
participated in postcard swap with,other
advised Sorbonne U Paris on,advice
attended conference with,meetup
exchanged with,work
reached out to,advice
invited,meetup
provided valuable way to,advice
helped design draft of device for,work
contributed to,work
presented projects to,work
introduced iGEM to,meetup
organized,other
presented at,work
saw projects from,work
had lectures with,work
hosted,work
created parody with,work
participated in parody with,work
attended workshop with,work
participated in meetup,meetup
discussed with,work
borrowed lab from,material transfer
provided apparatus to,material transfer
provided LB agars to,material transfer
provided competent cells to,material transfer
taught lab techniques to,advice
met with,meetup
wants to collaborate with,work
suggested teaching modeling to,advice
organized mini Jamboree,other
presented to,work
got inspirations from,other
attended,meetup
had a conversation with,advice
co-hosted event with,work
distributed book with,material transfer
created guide with,work
collaborated on memes with,work
created Facebook group with,work
participated in iGEM competition,work
participated in conference,work
won award from,other
benefited from lecture by,work
participated in safety poetry contest,other
translated booklet for,work
exchanged postcards with,other
organized meetup,meetup
participated in survey,other
received gift from,other
guided by,advice
received suggestions from,advice
assisted materials to,material transfer
exchanged data with,material transfer
presented project with,meetup
can work with,work
can help improve function of,advice
can help characterize,advice
can help debug,advice
can help model or simulate,advice
can help test,advice
can help build and test,advice
can mentor,advice
