text,source_team,year
"__

relationships: [[""Tsinghua"",""collaborated with"",""SJTU""],[""Tsinghua"",""collaborated with"",""SYSU""],[""Tsinghua"",""collaborated with"",""Tsinghua A""],[""SJTU"",""provided plasmids to"",""Tsinghua""],[""Tsinghua"",""invited students from"",""SJTU""],[""SYSU"",""shared plasmids with"",""Tsinghua""],[""Tsinghua"",""held meet-up with"",""SYSU""],[""Tsinghua"",""provided hardware prototype to"",""Tsinghua A""],[""Tsinghua A"",""provided feedback on hardware to"",""Tsinghua""]]",Tsinghua,2015
"interesting

relationships: [[""Leiden"",""collaborated with"",""Copenhagen""],[""Copenhagen"",""tested for"",""Leiden""],[""Leiden"",""provided equipment for"",""Copenhagen""],[""Leiden"",""collaborated with"",""Bacillus subtilus 168""],[""Leiden"",""collaborated with"",""Synechococcus elongatus PCC 7942""]]",Leiden,2016
relationships: [],UCAS,2017
"PET.
relationships: [[""BGU_ISRAEL"",""collaborated"",""KoreaSonyeod""],[""BGU_ISRAEL"",""offered"",""KoreaSonyeod""],[""Dr. Sarel Flishman"",""algorithm from"",""BGU_ISRAEL""],[""Weizmann Institute"",""sent structures and sequences"",""BGU_ISRAEL""],[""BGU_ISRAEL"",""participated in mini Jamboree"",""Technion - Israel""],[""BGU_ISRAEL"",""learned about project"",""Technion - Israel""],[""BGU_ISRAEL"",""collaborated"",""Technion - Israel""],[""BGU_ISRAEL"",""improved chemotaxis mechanism"",""Technion - Israel""],[""BGU_ISRAEL"",""used P. putida kt2440"",""Technion - Israel""],[""BGU_ISRAEL"",""used E. coli"",""Technion - Israel""],[""BGU_ISRAEL"",""used tripartite tricarboxylate transporter"",""Technion - Israel""],[""BGU_ISRAEL"",""used LC cutinase"",""Technion - Israel""],[""BGU_ISRAEL"",""used Terephthalic acid and ethylene glycol as ligands"",""Technion - Israel""],[""BGU_ISRAEL"",""designed improved receptors"",""Technion - Israel""],[""BGU_ISRAEL"",""expected bacterium to detect products"",""Technion - Israel""],[""BGU_ISRAEL"",""expected bacterium to migrate towards products"",""Technion - Israel""],[""BGU_ISRAEL"",""expected bacterium to expedite degradation rate of PET"",""Technion - Israel""]]",BGU_ISRAEL,2016
"and support from all the teams.

relationships: [[""ZJUT-China"",""collaborated with"",""Beijing Institute of Technology""],[""ZJUT-China"",""collaborated with"",""Beijing Normal University""],[""ZJUT-China"",""collaborated with"",""Zhejiang University""],[""ZJUT-China"",""collaborated with"",""Chinese University of Hong Kong""],[""ZJUT-China"",""shared experience with"",""BNU-China""],[""ZJUT-China"",""collaborated with"",""BNU-China""],[""ZJUT-China"",""collaborated with"",""BIT""],[""ZJUT-China"",""received help from"",""BIT""],[""ZJUT-China"",""collaborated with"",""BNU-China on a joint manifesto""],[""ZJUT-China"",""received help from"",""BIT in improving their project""],[""ZJUT-China"",""received help and support from all collaborating teams""]]",ZJUT-China,2018
"relationships: [[""East_Chapel_Hill"",""collaborated"",""Building with Biology""],[""East_Chapel_Hill"",""hosted event with"",""Gaston""],[""East_Chapel_Hill"",""hosted event with"",""Duke""],[""East_Chapel_Hill"",""replaced information for"",""Malaria""],[""East_Chapel_Hill"",""replaced information for"",""Zika""],[""East_Chapel_Hill"",""used event to gauge awareness and knowledge of"",""Zika""]]",East_Chapel_Hill,2017
[],Aachen,2016
"relationships: [[""SYSU-MEDICINE"",""collaborated with"",""ShanghaiTechChina_B""],[""SYSU-MEDICINE"",""communicated with"",""AHUT_China""],[""SYSU-MEDICINE"",""communicated with"",""NAU-China""],[""SYSU-MEDICINE"",""attended newsletter held by"",""XMU-China""],[""SYSU-MEDICINE"",""communicated with"",""NEU-China""],[""SYSU-MEDICINE"",""communicated with"",""TMMU_China""],[""SYSU-MEDICINE"",""attended newsletter held by"",""CCiC""],[""SYSU-MEDICINE"",""communicated with"",""SYSU_China""],[""SYSU-MEDICINE"",""assisted"",""ShanghaiTechChina_B""],[""SYSU-MEDICINE"",""received purified EGF peptide from"",""ShanghaiTechChina_B""],[""SYSU-MEDICINE"",""established IBD mice model and injected EGF solution"",""ShanghaiTechChina_B""],[""SYSU-MEDICINE"",""referred to related article and selected effective way to establish model"",""ShanghaiTechChina_B""],[""SYSU-MEDICINE"",""weighed and measured mice"",""ShanghaiTechChina_B""]]",SYSU-MEDICINE,2016
"ilateral collaboration
relationships: [[""NYMU-Taipei"",""collaborated"",""Team Taipei-SDS""],[""NYMU-Taipei"",""collaborated"",""IGEM Tokyo Tech""],[""NYMU-Taipei"",""presented project"",""IGEM Tokyo Tech""],[""NYMU-Taipei"",""visited"",""Tokyo Institute of Technology""],[""NYMU-Taipei"",""adopted advice from"",""IGEM Tokyo Tech""],[""NYMU-Taipei"",""visited"",""Kanagawa Institute of Technology""],[""NYMU-Taipei"",""collaborated"",""KU Leuven""],[""NYMU-Taipei"",""translated projects with"",""KU Leuven""]]",NYMU-Taipei,2017
"ity

relationships: [[""Marburg"",""participated in"",""iGEM Göttingen""],[""Marburg"",""collaborated with"",""Gert Bange's research group""],[""Marburg"",""instructed by"",""Pietro Giammarinaro""],[""Marburg"",""contributed knowledge to"",""iGEM IIT Madras""],[""Marburg"",""collaborated with"",""iGEM Thessaloniki""],[""Marburg"",""tested devices for"",""iGEM Thessaloniki""],[""Marburg"",""cultivated cells in incubator used by"",""iGEM Thessaloniki""],[""Marburg"",""collaborated with"",""iGEM Westminster UK""]]",Marburg,2018
"-spectrum antibacterial performance of PLA. Details can be found on our Result page.[[""FJNU-China"",""collaborated with"",""BIT-China""],[""FJNU-China"",""cooperated with"",""BIT-China""],[""BIT-China"",""provided guidance and verification for"",""FJNU-China""],[""FJNU-China"",""cooperated with"",""BIT-China""],[""FJNU-China"",""performed statistical analysis on"",""BIT-China""],[""FJNU-China"",""cooperated with"",""NWU-China""],[""FJNU-China"",""performed statistical analysis on"",""NWU-China""],[""NWU-China"",""helped"",""FJNU-China""],[""FJNU-China"",""cooperated with"",""TUST-China""],[""TUST-China"",""performed statistical analysis on"",""FJNU-China""]]",FJNU-China,2018
"'an Jiaotong University
relationships: [[""UCAS"",""collaborated"",""College of Life Sciences, University of Chinese Academy of Sciences""],[""UCAS"",""lab support"",""Prof. Jiangyun WANG, IBP, CAS""],[""UCAS"",""lab support"",""Prof. Xien-en ZHANG, IBP, CAS""],[""UCAS"",""lab support"",""Prof. Dianbing WANG""],[""UCAS"",""helped in analysis"",""College of Life Sciences, UCAS in Institute of Tibetan Plateau Research, CAS""],[""UCAS"",""helped in analysis"",""Peking University Health Science Center""],[""UCAS"",""lab support"",""Beijing National Day School""],[""UCAS"",""difficult technique support"",""Cheng HU""],[""UCAS"",""difficult technique support"",""Jian HUANG""],[""UCAS"",""hardware support"",""Prof. Pingyong XU""],[""UCAS"",""wiki support"",""Lewis Sandler""],[""UCAS"",""presentation coaching"",""Prof. Chunbo LOU""],[""UCAS"",""presentation coaching"",""Lewis Sandler""],[""UCAS"",""human practice support"",""Wenqi PENG""],[""UCAS"",""human practice support"",""Prof. Zhisheng YU""],[""UCAS"",""juristic advice"",""Bluepha Microbe Technology Co.""],[""UCAS"",""published article"",""China Aquaculture Website""],[""UCAS"",""provided fieldwork opportunities"",""Beijing Shuianyuge Food Company""],[""UCAS"",""provided fieldwork opportunities"",""Sturgeon Breeding Technology Engineering Center of the Chinese Academy of Fishery Sciences""],[""UCAS"",""provided detailed information"",""Yancheng Ocean and Fisheries Bureau""],[""UCAS"",""provided helpful advice"",""Yancheng Chengdong foul water purifying factory""],[""UCAS"",""gave SELF talk"",""Dr. Haoqian ZHANG""],[""UCAS"",""provided sound recording outfit"",""Leying CHEN""],[""UCAS"",""took photos"",""Xiaoding LI""],[""UCAS"",""proofreaded"",""Lewis Sandler, BS, JD""],[""UCAS"",""provided advice"",""Xiaohong LIU, Ph.D, Prof.""],[""UCAS"",""provided advice"",""Members of the Youth Innovation Promotion Association, CAS""],[""UCAS"",""provided advice"",""Key Laboratory of RNA Biology, IBP, CAS""],[""UCAS"",""provided advice"",""Xi'an Jiaotong University""]]",UCAS,2017
"relationships: [[""Austin_UTexas"",""hosted"",""iGEM meetup at UT Austin""],[""Austin_UTexas"",""collaborated"",""LASA high school team""],[""Austin_UTexas"",""met up with"",""Texas Tech""],[""Texas Tech"",""offered assistance to"",""Austin_UTexas""],[""Austin_UTexas"",""helped overhaul methods for"",""Texas Tech""],[""Austin_UTexas"",""introduced"",""Texas Tech to Golden Gate Assembly""],[""Ryan Bailey"",""worked with"",""Brandon Palomo of Texas Tech""],[""Ryan Bailey"",""gave advice to"",""Brandon Palomo of Texas Tech""],[""Austin_UTexas"",""introduced"",""Texas Tech to Phytobricks""],[""collaboration between"",""Austin_UTexas and Texas Tech"",""benefits Texas Tech by speeding up assemblies and improving efficiency in lab""]]",Austin_UTexas,2018
"relationships: [[""BIT-China"",""mentored"",""high school team""],[""BIT-China"",""collaborated"",""Jilin_China""],[""BIT-China"",""collaborated"",""Lanzhou""],[""BIT-China"",""collaborated"",""CIEI-BJ""],[""BIT-China"",""attributed to"",""P-SLACKiller""],[""BIT-China"",""attributed to"",""Work or Die""],[""BIT-China"",""attributed to"",""Monitor Plasmid Numbers""],[""BIT-China"",""attributed to"",""Kill the Slacker""],[""BIT-China"",""attributed to"",""Maintain the Better Biosystem""],[""BIT-China"",""used"",""Useful Links""],[""BIT-China"",""achieved"",""Achievements""],[""BIT-China"",""received support from"",""Sponsors""],[""BIT-China"",""contacted"",""Get in touch""],[""BIT-China"",""located at"",""No.5 Zhongguancun South Street""]]",BIT-China,2016
"relationships: [[""Shenzhen_SFLS"",""trained with"",""other teams""],[""Shenzhen_SFLS"",""shared cloning materials with"",""other teams""],[""Shenzhen_SFLS"",""had great communication with"",""other teams""],[""Shenzhen_SFLS"",""based projects on same technology platform"",""other teams""]]",Shenzhen_SFLS,2016
"relationships: [[""NAWI_Graz"",""cooperation with"",""other teams""],[""NAWI_Graz"",""gratitude for"",""other teams""],[""NAWI_Graz"",""participated in online discussion"",""Uppsala""],[""NAWI_Graz"",""discussed with"",""ETH_Zurich""],[""NAWI_Graz"",""discussed with"",""UiOslo_Norway""],[""NAWI_Graz"",""discussed with"",""Lund""],[""NAWI_Graz"",""discussed with"",""Groningen""],[""NAWI_Graz"",""invited"",""other teams""],[""NAWI_Graz"",""received feedback from"",""Groningen""],[""NAWI_Graz"",""collaborated with"",""Groningen""]]",NAWI_Graz,2017
"relationships: [[""UNC-Chapel Hill"",""collaborated with"",""other teams""],[""UNC-Chapel Hill"",""worked with"",""software teams""],[""UNC-Chapel Hill"",""worked with"",""hardware teams""],[""UNC-Chapel Hill"",""worked with"",""high school teams""],[""UNC-Chapel Hill"",""worked with"",""non-iGEM research groups""],[""UNC-Chapel Hill"",""improved function of"",""another team's BioBrick Part or Device""],[""UNC-Chapel Hill"",""characterized"",""another team's part""],[""UNC-Chapel Hill"",""debugged"",""a construct""],[""UNC-Chapel Hill"",""modeled or simulated"",""another team's system""],[""UNC-Chapel Hill"",""tested"",""another team's software""],[""UNC-Chapel Hill"",""helped build and test"",""another team's hardware project""],[""UNC-Chapel Hill"",""mentored"",""a high-school team""]]",UNC-Chapel_Hill,2015
