context,category
answered questions for,advice
provided summary for,advice
offered poster board space to,work
guided by,advice
sponsored by,work
located at,work
encountered,other
reexamined objectives with,work
is on,other
participated in iGEM competition as,work
hosted education with,work
characterized,work
measured growth curve of,work
tested function of,work
presented to,work
provided biobricks to,material transfer
offered biobricks to,material transfer
establishment of program,other
gave tips to use,advice
provided preview of model handbook,other
helped with modeling,work
provided document about French regulation,material transfer
helped build interactive map,work
spread surveys for,work
organized skype with winemaker,meetup
met,meetup
completed survey for,other
collaborated with,work
mentored,advice
collaborated,work
exchanged ideas with,work
cooperated with,work
communicated with,work
collaborated on manifesto with,work
collaborated on plasmid with,work
helped,work
introduced,meetup
worked with,work
hosted meetup with,meetup
interacted with,other
advised,advice
chatted with,other
connected with,other
offered help and advice to,advice
translated videos for,other
project displayed by,meetup
shared outcomes,material transfer
integrate bacteria from,work
contacted,other
visited,meetup
shared ideas,work
appreciate advice from,advice
gave suggestions to,advice
received advice from,advice
collaboration with,work
mentoring cooperation with,work
mentored by,advice
participated in iGEM Day organized by,meetup
kept in touch with,other
had fun in,other
thanked,other
discussed with,work
analyzed data with,work
had skype calls with,work
worked alongside,work
wished success to,other
shared protocols and tips with,material transfer
exchanged knowledge with,work
validated ElectroPen with,work
attended,meetup
received feedback from,advice
contacted by,other
shared SEM imaging protocol with,material transfer
visited by,meetup
participated in postcard swap with,other
attended conference with,meetup
exchanged with,work
reached out to,advice
invited,meetup
provided valuable way to,advice
helped design draft of device for,work
contributed to,work
presented projects to,work
introduced iGEM to,meetup
organized,work
presented at,work
saw projects from,work
had lectures with,work
hosted,work
created WhatsApp group with,work
participated in parody video with,work
attended workshop with,work
participated in meetup,meetup
borrowed lab from,material transfer
provided apparatus to,material transfer
provided LB agars to,material transfer
provided competent cells to,material transfer
taught lab techniques to,work
met with,meetup
wants to collaborate with,work
suggested teaching modeling to,advice
organized mini Jamboree,other
presented to,work
got inspirations from,other
had a conversation with,other
co-hosted event with,meetup
distributed book with,material transfer
created guide with,work
collaborated on memes with,work
created Facebook group with,work
participated in conference,meetup
won award from,other
benefited from lecture by,other
participated in safety poetry contest,other
translated booklet for,material transfer
exchanged postcards with,other
organized meetup,meetup
participated in survey,other
received gift from,other
shared experiences with,other
offered suggestions to,advice
received guidance from,advice
received suggestions from,advice
assisted materials to,material transfer
exchanged data with,material transfer
presented project with,meetup
can work with,work
can help improve function of,advice
can help characterize,work
can help debug,work
can help model or simulate,work
can help test,work
can help build and test,work
can mentor,advice
provided strain to,material transfer
conducted survey with,work
requested interlab study with,work
debated with,work
provided venue for debate,work
won robot from,material transfer
skyped with,work
translated for,work
attended panel discussion organized by,meetup
hosted meetup,meetup
consulted,advice
