context,category
compared designs with,work
shared experience with,meetup
helped validate,work
modeled pathway for,work
hosted,other
produces immobilized bacteria,work
changed plan,other
seeking for a better solution,other
employed peristaltic pump,work
employed microporous filter,work
applied bacterial immobilizing technique,work
used polyvinyl alcohol/sodium alginate beads,work
used LED and photoresistor,work
designed control system,work
used Bluetooth module,work
provided cloning expertise to,advice
filled out survey for,other
answered questions for,other
provided summary for,other
characterized,work
measured growth curve of,work
tested function of,work
presented to,work
provided biobricks to,material transfer
offered biobricks to,material transfer
establishment of program,other
gave tips to use,advice
provided preview of model handbook,other
helped with modeling,work
provided document about French regulation,material transfer
helped build interactive map,work
spread surveys for,work
organized skype with winemaker,meetup
met,meetup
completed survey for,other
collaborated with,work
mentored,advice
collaborated,work
exchanged ideas with,work
cooperated with,work
communicated with,work
collaborated on manifesto with,work
collaborated on project with,work
contributed knowledge to,advice
participated in,work
cooperated on experiment,work
cooperated on improve,work
cooperated on handbook,work
cooperated on measure experiment,work
cooperated on determine experiment,work
cooperated on demonstrate,work
met up with,meetup
assisted,work
helped,work
introduced,meetup
worked with,work
hosted meetup with,meetup
interacted with,other
advised,advice
chatted with,other
connected with,other
offered help and advice to,advice
translated videos for,other
project displayed by,meetup
shared outcomes,work
integrate engineered bacteria from,material transfer
contacted,other
visited,meetup
shared ideas,work
appreciate advice from,advice
gave suggestions to,advice
received advice from,advice
collaboration with,work
mentoring cooperation with,work
mentored by,advice
participated in iGEM Day organized by,meetup
kept in touch with,other
had fun in,other
thanked,other
discussed with,work
analyzed data with,work
had skype calls with,work
shared ideas with,work
troubleshooted problems with,work
worked alongside,work
wished success to,advice
shared protocols with,material transfer
shared tips with,advice
discussed wet lab protocols with,work
discussed dry lab modelling with,work
discussed practical applications with,work
validated ElectroPen with,work
attended conference at,meetup
met over 20 teams from,meetup
received feedback from,advice
contacted by,other
shared SEM imaging protocol with,material transfer
visited by,other
participated in postcard swap with,other
advised Sorbonne U Paris on,advice
attended conference with,meetup
exchanged with,material transfer
reached out to,other
invited,meetup
provided valuable way to,advice
helped design draft of device for,work
contributed to,work
presented projects to,work
introduced iGEM to,meetup
organized,work
presented at,work
saw projects from,work
had lectures with,work
hosted,work
created WhatsApp group with,other
participated in parody video with,other
attended workshop with,other
participated in meetup,meetup
borrowed lab from,work
provided apparatus to,material transfer
provided LB agars to,material transfer
provided competent cells to,material transfer
taught lab techniques to,work
met with,meetup
wants to collaborate with,work
suggested teaching modeling to,advice
organized mini Jamboree,work
presented to,work
got inspirations from,other
attended,other
had a conversation with,other
co-hosted event with,work
distributed book with,material transfer
created guide with,work
collaborated on memes with,work
created Facebook group with,work
participated in conference,other
won award from,other
benefited from lecture by,other
participated in safety poetry contest,other
translated booklet for,work
exchanged postcards with,other
organized meetup,meetup
participated in survey,work
received gift from,other
exchanged knowledge with,work
shared experiences with,meetup
offered suggestions to,advice
guided by,advice
received suggestions from,advice
assisted materials to,material transfer
exchanged data with,material transfer
presented project with,work
can work with,work
can help improve function of,advice
can help characterize,work
can help debug,work
can help model or simulate,work
can help test,work
can help build and test,work
can mentor,advice
provided strain to,material transfer
conducted survey with,work
requested interlab study with,work
debated with,work
provided venue for debate,work
won robot from,material transfer
skyped with,work
translated for,work
attended panel discussion organized by,meetup
consulted with,advice
