context,category
spread surveys,work
organized skype with winemaker,meetup
met,meetup
completed survey for,other
collaborated with,work
mentored,advice
collaborated,work
exchanged ideas with,work
cooperated with,work
communicated with,work
collaborated on manifesto with,work
collaborated on project with,work
contributed knowledge to,work
participated in,work
cooperated on experiment,work
cooperated on improve,work
cooperated on handbook,work
cooperated on measure experiment,work
cooperated on determine experiment,work
cooperated on demonstrate,work
met up with,meetup
assisted,advice
helped,work
introduced,meetup
worked with,work
hosted meetup with,meetup
interacted with,other
advised,advice
chatted with,other
connected with,other
offered help and advice to,advice
translated videos for,other
project displayed by,meetup
shared outcomes,material transfer
integrate bacteria from,work
contacted,other
visited,meetup
shared ideas,work
appreciate advice from,advice
wishes best to,other
gave suggestions to,advice
received advice from,advice
collaboration with,work
mentoring cooperation with,work
mentored by,advice
participated in iGEM Day organized by,meetup
kept in touch with,other
hosted,other
had fun in,other
thanked,other
discussed with,work
analyzed data with,work
had skype calls with,work
worked alongside,work
wished success to,advice
shared protocols and tips with,material transfer
exchanged knowledge with,material transfer
validated ElectroPen with,work
attended conference at,meetup
met over 20 teams from,meetup
received feedback from,advice
contacted by,other
shared SEM imaging protocol with,material transfer
visited by,meetup
participated in postcard swap with,other
advised Sorbonne U Paris on,advice
attended conference with,meetup
reached out to,other
invited,other
provided valuable way to,advice
helped design draft of device for,work
contributed to,work
presented projects to,work
introduced iGEM to,other
organized,work
presented at,work
saw projects from,work
had lectures with,work
created WhatsApp group with,other
participated in parody video with,other
attended workshop with,work
participated in meetup,meetup
borrowed lab from,work
provided apparatus to,material transfer
provided LB agars to,material transfer
provided competent cells to,material transfer
taught lab techniques to,work
met with,meetup
wants to collaborate with,work
suggested teaching modeling to,advice
organized mini Jamboree,meetup
presented to,work
got inspirations from,advice
attended,meetup
had a conversation with,advice
co-hosted event with,work
distributed book with,material transfer
created guide with,work
collaborated on memes with,work
created Facebook group with,work
participated in iGEM competition,work
participated in conference,work
won award from,other
benefited from lecture by,work
participated in safety poetry contest,other
translated booklet for,work
exchanged postcards with,other
organized meetup,meetup
participated in survey,other
received gift from,other
shared experiences with,other
offered suggestions to,advice
guided by,advice
received suggestions from,advice
assisted materials to,material transfer
exchanged data with,material transfer
presented project with,meetup
can work with,work
can help improve function of,work
can help characterize,work
can help debug,work
can help model or simulate,work
can help test,work
can help build and test,work
can mentor,advice
provided strain to,material transfer
conducted survey with,work
requested interlab study with,work
debated with,work
provided venue for debate,meetup
won robot from,other
skyped with,meetup
translated for,other
attended panel discussion organized by,meetup
hosted meetup,meetup
consulted,advice
