Donor,(Donor) Country,(Donor) Continent,(Donor) Medal Colour,(Donor) Team size - Student Members,(Donor) Team size - Auxilliary Members,Recipient,Special Award(s)? (Yes/No),Name of Special Awards
Evry,Norway,Europe,Silver,7,4,TU_Eindhoven,No,
Exeter,England,Europe,Gold,11,9,Amoy,No,
Exeter,England,Europe,Gold,11,9,Bielefeld-CeBiTec,No,
Exeter,England,Europe,Gold,11,9,Kent,No,
Exeter,England,Europe,Gold,11,9,Manchester-Graz,No,
Exeter,England,Europe,Gold,11,9,NAIT_Edmonton,No,
Exeter,England,Europe,Gold,11,9,Oxford,No,
Exeter,England,Europe,Gold,11,9,Sydney_Australia,No,
Exeter,England,Europe,Gold,11,9,Warwick,No,
Exeter,England,Europe,Gold,11,9,Westminster,No,
FAFU-CHINA,China,Asia,Bronze,12,7,BNU-CHINA,No,
FAFU-CHINA,China,Asia,Bronze,12,7,NJU-CHINA,No,
FAU_Erlangen,Germany,Europe,Silver,8,3,Aix-Marseille,No,
FAU_Erlangen,Germany,Europe,Silver,8,3,Bielefeld-CeBiTec,No,
FAU_Erlangen,Germany,Europe,Silver,8,3,Marburg,No,
FAU_Erlangen,Germany,Europe,Silver,8,3,TU_Darmstadt,No,
Freiburg,Scotland,Europe,Gold,19,13,Amoy,Yes,"Nominated for best health and medicine project overgrad, Nominated for best innovation in medicine overgrad, Nominated for best wiki overgrad, nominated for best presentation overgrad"
Freiburg,Scotland,Europe,Gold,19,13,Bielefeld-CeBiTec,Yes,"Nominated for best health and medicine project overgrad, Nominated for best innovation in medicine overgrad, Nominated for best wiki overgrad, nominated for best presentation overgrad"
Freiburg,Scotland,Europe,Gold,19,13,Stockholm,Yes,"Nominated for best health and medicine project overgrad, Nominated for best innovation in medicine overgrad, Nominated for best wiki overgrad, nominated for best presentation overgrad"
Freiburg,Scotland,Europe,Gold,19,13,Tuebingen,Yes,"Nominated for best health and medicine project overgrad, Nominated for best innovation in medicine overgrad, Nominated for best wiki overgrad, nominated for best presentation overgrad"
Fudan,China,Asia,Silver,12,6,NYU_Shanghai,No,
Fudan,China,Asia,Silver,12,6,WLSA_Shanghai,No,
Genspace,United States of America,North America,Gold,21,3,UGA-Georgia,Yes,Best Community Labs Project
Georgia_State,United States of America,North America,Silver,14,3,GeorgiaTech,No,
GeorgiaTech,United States of America,North America,Bronze,6,5,Georgia_State,No,
GeorgiaTech,United States of America,North America,Bronze,6,5,Lambert_GA,No,
Glasgow,Scotland,Europe,Gold,10,3,Cambridge-JIC,Yes,"Nominated for best new application project undergrad, Nominated for best integrated human practices undergrad"
Goettingen,Germany,Europe,Bronze,11,2,Aachen,No,
Goettingen,Germany,Europe,Bronze,11,2,Aix-Marseille,No,
Groningen,Netherlands,Europe,Gold,10,1,Aix-Marseille,No,
Groningen,Netherlands,Europe,Gold,10,1,Linkoping_Sweden,No,
Groningen,Netherlands,Europe,Gold,10,1,TecCEM_HS,No,
Groningen,Netherlands,Europe,Gold,10,1,TU_Delft,No,
Hamburg,Germany,Europe,Bronze,10,1,Bielefeld-CeBiTec,No,
Hamburg,Germany,Europe,Bronze,10,1,Goettingen,No,
Hangzhou-H14Z,China,Asia,Silver,10,2,ZJU-China,No,
Harvard_BioDesign,United States of America,North America,Gold,5,5,WPI-Worcester,Yes,Nominated for Best Foundational Advance Project
Heidelberg,Germany,Europe,Gold,11,7,Aachen,Yes,"Finalist undergrad, second runner up undergrad, best foundational advance project, nominated for best software tool, nominated for best applied design, nominated for best wiki undergrad, best poster, iGemer's prize"
Heidelberg,Germany,Europe,Gold,11,7,Aix-Marseille,Yes,"Finalist undergrad, second runner up undergrad, best foundational advance project, nominated for best software tool, nominated for best applied design, nominated for best wiki undergrad, best poster, iGemer's prize"
Heidelberg,Germany,Europe,Gold,11,7,IONIS_Paris,Yes,"Finalist undergrad, second runner up undergrad, best foundational advance project, nominated for best software tool, nominated for best applied design, nominated for best wiki undergrad, best poster, iGemer's prize"
Heidelberg,Germany,Europe,Gold,11,7,Paris_Bettencourt,Yes,"Finalist undergrad, second runner up undergrad, best foundational advance project, nominated for best software tool, nominated for best applied design, nominated for best wiki undergrad, best poster, iGemer's prize"
HFUT-China,China,Asia,Gold,14,4,OUC-China,No,
HokkaidoU_Japan,Japan,Asia,Silver,12,2,Aalto-Helsinki,No,
HokkaidoU_Japan,Japan,Asia,Silver,12,2,Tec_Guadalajara,No,
Hong_Kong-CUHK,China,Asia,Gold,13,11,CityU_HK,No,
Hong_Kong-CUHK,China,Asia,Gold,13,11,UCSF,No,
HSNU-TAIPEI,Taiwan,Asia,Gold,48,30,Mingdao,Yes,"Nominated for Best Wiki, High School"
HSNU-TAIPEI,Taiwan,Asia,Gold,48,30,NCTU_Formosa,Yes,"Best Integrated Human Practices, High School"
HSNU-TAIPEI,Taiwan,Asia,Gold,48,30,NJAU_China,Yes,"Nominated for Best Poster, High School"
HSNU-TAIPEI,Taiwan,Asia,Gold,48,30,NJAU_China,Yes,Nominated for Best High School Project
HSNU-TAIPEI,Taiwan,Asia,Gold,48,30,NTU-LIHPAO-Taiwan,Yes,"Nominated for Best Education and Public Engagement, High School"
HSNU-TAIPEI,Taiwan,Asia,Gold,48,30,NYMU-TAIPEI,Yes,"Best Applied Design, High School"
HUST-China,China,Asia,Gold,16,6,HZAU-China,Yes,"Nominated for Best New Basic Part, Undergrad"
HUST-China,China,Asia,Gold,16,6,WHU-China,Yes,"Nominated for Best Environment Project, Undergrad"
HZAU-China,China,Asia,Gold,17,8,HUST-China,Yes,Nominated for Best Information Processing Project
HZAU-China,China,Asia,Gold,17,8,WHU-China,Yes,Nominated for Best Information Processing Project
HZAU-China,China,Asia,Gold,17,8,ZJU-China,Yes,Nominated for Best Information Processing Project
IISER_Pune,India,Asia,Bronze,10,3,IIT_Delhi,No,
IISER_Pune,India,Asia,Bronze,10,3,IIT_Kharagpur,No,
IIT_Delhi,India,Asia,Bronze,22,3,IISER_Pune,No,
IIT_Delhi,India,Asia,Bronze,22,3,IIT_Kharagpur,No,
IIT_Kharagpur,India,Asia,,17,2,IISER_Pune,No,
IIT_Kharagpur,India,Asia,,17,2,IIT_Delhi,No,
IONIS_Paris,France,Europe,Gold,12,4,Heidelberg,No,
ITB_INDONESIA,Indonesia,Asia,Silver,19,7,Oxford,No,
ITB_INDONESIA,Indonesia,Asia,Silver,19,7,UB_Indonesia,No,
Jilin_China,China,Asia,Bronze,27,16,WHU-China,No,
Kent,England,Europe,Gold,11,6,Birkbeck,No,
Kent,England,Europe,Gold,11,6,UNITN-Trento,No,
Kent,England,Europe,Gold,11,6,Westminster,No,
KU_Leuven,Belgium,Europe,Gold,13,6,Aix-Marseille,Yes,"Best New Application Project (Overgrad), Best Model (Overgrad), Best Education and Public Engagement (Overgrad), Best Poster (Overgrad)"
KU_Leuven,Belgium,Europe,Gold,13,6,Amsterdam,Yes,"Best New Application Project (Overgrad), Best Model (Overgrad), Best Education and Public Engagement (Overgrad), Best Poster (Overgrad)"
KU_Leuven,Belgium,Europe,Gold,13,6,Bordeaux,Yes,"Best New Application Project (Overgrad), Best Model (Overgrad), Best Education and Public Engagement (Overgrad), Best Poster (Overgrad)"
KU_Leuven,Belgium,Europe,Gold,13,6,NAIT_Edmonton,Yes,"Best New Application Project (Overgrad), Best Model (Overgrad), Best Education and Public Engagement (Overgrad), Best Poster (Overgrad)"
KU_Leuven,Belgium,Europe,Gold,13,6,Paris_Saclay,Yes,"Best New Application Project (Overgrad), Best Model (Overgrad), Best Education and Public Engagement (Overgrad), Best Poster (Overgrad)"
KU_Leuven,Belgium,Europe,Gold,13,6,Toulouse,Yes,"Best New Application Project (Overgrad), Best Model (Overgrad), Best Education and Public Engagement (Overgrad), Best Poster (Overgrad)"
KU_Leuven,Belgium,Europe,Gold,13,6,TU_Eindhoven,Yes,"Best New Application Project (Overgrad), Best Model (Overgrad), Best Education and Public Engagement (Overgrad), Best Poster (Overgrad)"
KU_Leuven,Belgium,Europe,Gold,13,6,Ubonn,Yes,"Best New Application Project (Overgrad), Best Model (Overgrad), Best Education and Public Engagement (Overgrad), Best Poster (Overgrad)"
KU_Leuven,Belgium,Europe,Gold,13,6,York,Yes,"Best New Application Project (Overgrad), Best Model (Overgrad), Best Education and Public Engagement (Overgrad), Best Poster (Overgrad)"
Lambert_GA,United States of America,North America,Bronze,13,1,GeorgiaTech,No,
LASATX,United States of America,North America,Gold,15,2,Austin_UTexas,Yes,"Nominated for Best Wiki, High School"
LaVerne-Leos,United States of America,North America,Bronze,12,8,Santa_Clara,No,
LaVerne-Leos,United States of America,North America,Bronze,12,8,Stanford-Brown,No,
LaVerne-Leos,United States of America,North America,Bronze,12,8,Yale,No,
Leicester,England,Europe,,7,2,Aix-Marseille,No,
Leicester,England,Europe,,7,2,CGU_Taiwan,No,
Lethbridge,Canada,North America,Gold,14,3,Central_Calgary,No,
Lethbridge,Canada,North America,Gold,14,3,Consort_Alberta,No,
Lethbridge,Canada,North America,Gold,14,3,Lethbridge_HS,No,
Lethbridge,Canada,North America,Gold,14,3,NAIT_Edmonton,No,
Lethbridge_HS,Canada,North America,Bronze,10,6,Lethbridge,No,
Liceo_Eugenio_Hostos,Chile,Latin America,Bronze,4,1,San_Andres,No,
Linkoping_Sweden,Sweden,Europe,Bronze,17,0,BIOSINT_Mexico,No,
Linkoping_Sweden,Sweden,Europe,Bronze,17,0,Birkbeck,No,
London_Biohackspace,England,Europe,Bronze,11,0,UCL,No,
LZU-China,China,Asia,Silver,25,9,Shiyan_SY_China,No,
Macquarie_Australia,Australia,Asia,Gold,30,10,BABS_UNSW_Australia,Yes,Nominated for Best Energy Project
Macquarie_Australia,Australia,Asia,Gold,30,10,CU_Boulder,Yes,"Nominated for Best Model, Overgrad"
Macquarie_Australia,Australia,Asia,Gold,30,10,CU_Boulder,Yes,"Nominated for Best New Basic Part, Overgrad"
Manchester-Graz,England,Europe,Gold,11,1,NRP-UEA-Norwich,No,
Manchester-Graz,England,Europe,Gold,11,1,TU_Eindhoven,No,
Manchester-Graz,England,Europe,Gold,11,1,UCL,No,
Manchester-Graz,England,Europe,Gold,11,1,Warwick,No,
Marburg,Germany,Europe,Gold,17,9,Aachen,Yes,"Best Food and Nutrition Project, Best Innovation in Measurement (Overgrad), Nominated for Best Education and Public Engagement (Overgrad), Nominated for Best Wiki (Overgrad), Nominated for Best Poster (Overgrad), Nominated for Best New Composite Part (Overgrad), Nominated for Best Part Collection (Overgrad)"
Marburg,Germany,Europe,Gold,17,9,Bielefeld-CeBiTec,Yes,"Best Food and Nutrition Project, Best Innovation in Measurement (Overgrad), Nominated for Best Education and Public Engagement (Overgrad), Nominated for Best Wiki (Overgrad), Nominated for Best Poster (Overgrad), Nominated for Best New Composite Part (Overgrad), Nominated for Best Part Collection (Overgrad)"
Marburg,Germany,Europe,Gold,17,9,FAU_Erlangen,Yes,"Best Food and Nutrition Project, Best Innovation in Measurement (Overgrad), Nominated for Best Education and Public Engagement (Overgrad), Nominated for Best Wiki (Overgrad), Nominated for Best Poster (Overgrad), Nominated for Best New Composite Part (Overgrad), Nominated for Best Part Collection (Overgrad)"
Marburg,Germany,Europe,Gold,17,9,FAU_Erlangen,Yes,"Best Food and Nutrition Project, Best Innovation in Measurement (Overgrad), Nominated for Best Education and Public Engagement (Overgrad), Nominated for Best Wiki (Overgrad), Nominated for Best Poster (Overgrad), Nominated for Best New Composite Part (Overgrad), Nominated for Best Part Collection (Overgrad)"
Marburg,Germany,Europe,Gold,17,9,Freiburg,Yes,"Best Food and Nutrition Project, Best Innovation in Measurement (Overgrad), Nominated for Best Education and Public Engagement (Overgrad), Nominated for Best Wiki (Overgrad), Nominated for Best Poster (Overgrad), Nominated for Best New Composite Part (Overgrad), Nominated for Best Part Collection (Overgrad)"
Marburg,Germany,Europe,Gold,17,9,Goettingen,Yes,"Best Food and Nutrition Project, Best Innovation in Measurement (Overgrad), Nominated for Best Education and Public Engagement (Overgrad), Nominated for Best Wiki (Overgrad), Nominated for Best Poster (Overgrad), Nominated for Best New Composite Part (Overgrad), Nominated for Best Part Collection (Overgrad)"
Marburg,Germany,Europe,Gold,17,9,TU_Darmstadt,Yes,"Best Food and Nutrition Project, Best Innovation in Measurement (Overgrad), Nominated for Best Education and Public Engagement (Overgrad), Nominated for Best Wiki (Overgrad), Nominated for Best Poster (Overgrad), Nominated for Best New Composite Part (Overgrad), Nominated for Best Part Collection (Overgrad)"
Marburg,Germany,Europe,Gold,17,9,UBonn,Yes,"Best Food and Nutrition Project, Best Innovation in Measurement (Overgrad), Nominated for Best Education and Public Engagement (Overgrad), Nominated for Best Wiki (Overgrad), Nominated for Best Poster (Overgrad), Nominated for Best New Composite Part (Overgrad), Nominated for Best Part Collection (Overgrad)"
METU_HS_Ankara,Turkey,Europe,Silver,4,2,METU_Turkey,Yes,"Best New Composite Part (High School), Best Part Collection (High School), Nominated for Best Applied Design (High School), Nominated for Best Integrated Human Practices (High School), Nomination for Best Education and Public Engagement (High School)"
METU_HS_Ankara,Turkey,Europe,Silver,4,2,Toulouse,Yes,"Best New Composite Part (High School), Best Part Collection (High School), Nominated for Best Applied Design (High School), Nominated for Best Integrated Human Practices (High School), Nomination for Best Education and Public Engagement (High School)"
METU_Turkey,Turkey,Europe,,12,0,Aix-Marseille,No,
Michigan,United States of America,North America,,14,3,Heidelberg,No,
Michigan,United States of America,North America,,14,3,Michigan_Software,No,
Michigan,United States of America,North America,,14,3,NAIT_Edmonton,No,
Mingdao,Taiwan,Asia,,29,6,NCTU_Formosa,No,
Minnesota,United States of America,North America,,5,5,Cairo_Egypt,No,
Minnesota,United States of America,North America,,5,5,TU_Eindhoven,No,
MIT,United States of America,North America,Bronze,13,3,UGA-Georgia,No,
MIT,United States of America,North America,Bronze,13,3,Wellesley_TheTech,No,
Nagahama,Japan,Asia,Gold,9,6,Tokyo_Tech,No,
NAIT_Edmonton,Canada,North America,Silver,6,2,Amoy,No,
NAIT_Edmonton,Canada,North America,Silver,6,2,Exeter,No,
NAIT_Edmonton,Canada,North America,Silver,6,2,KU_Leuven,No,
NAIT_Edmonton,Canada,North America,Silver,6,2,Lethbridge,No,
NAIT_Edmonton,Canada,North America,Silver,6,2,Michigan,No,
NAIT_Edmonton,Canada,North America,Silver,6,2,TecCem,No,
NAIT_Edmonton,Canada,North America,Silver,6,2,TU_Eindhoven,No,
NAIT_Edmonton,Canada,North America,Silver,6,2,UMaryland,No,
NAIT_Edmonton,Canada,North America,Silver,6,2,WPI-Worcester,No,
Nanjing_NFLS,China,Asia,,13,2,NJU-China,No,
Nanjing-China,China,Asia,Gold,20,3,SJTU-BioX-Shanghai,No,
Nankai,China,Asia,Bronze,20,5,Tianjin,No,
NCTU_Formosa,Taiwan,Asia,Bronze,24,4,HSNU-TAIPEI,No,
NCTU_Formosa,Taiwan,Asia,Bronze,24,4,Mingdao,No,
NCTU_Formosa,Taiwan,Asia,Bronze,24,4,Oxford,No,
NCTU_Formosa,Taiwan,Asia,Bronze,24,4,Zamorano,No,
NEAU-China,China,Asia,Bronze,17,6,Tsinghua-A,No,
NEFU_China,China,Asia,Silver,16,5,NUDT_CHINA,No,
NJAU_China,China,Asia,Silver,13,4,NJU-China,No,
NJU-China,China,Asia,Gold,21,5,FAFU-CHINA,Yes,
NJU-China,China,Asia,Gold,21,5,NJAU_China,Yes,"Nominated for Best presentation, Undergrad"
NJU-China,China,Asia,Gold,21,5,NUDT_CHINA,Yes,"Nominated for Best Model, Undergrad"
NJU-China,China,Asia,Gold,21,5,SYSU-Software,Yes,"Nominated for Best Health and Medicine Project, Undergrad"
Northeastern_Boston,United States of America,North America,Bronze,9,6,Yale,No,
NRP-UEA-Norwich,England,Europe,Gold,7,4,Manchester-Graz,Yes,"Nominated for Best Food and Nutrition Project, Nominated for Best Education and Public Engagement (Undergrad)"
NRP-UEA-Norwich,England,Europe,Gold,7,4,TU_Eindhoven,Yes,"Nominated for Best Food and Nutrition Project, Nominated for Best Education and Public Engagement (Undergrad)"
NRP-UEA-Norwich,England,Europe,Gold,7,4,Valencia_UPV,Yes,"Nominated for Best Food and Nutrition Project, Nominated for Best Education and Public Engagement (Undergrad)"
NTNU_Trondheim,Norway,Europe,Gold,5,3,TU_Darmstadt,No,
NTNU_Trondheim,Norway,Europe,Gold,5,3,Warwick,No,
NTU-LIHPAO-Taiwan,Taiwan,Asia,Silver,13,3,HSNU-TAIPEI,No,
NTU-LIHPAO-Taiwan,Taiwan,Asia,Silver,13,3,Mingdao,No,
NUDT_CHINA,China,Asia,Gold,11,6,NEFU_China,Yes,
